Nome: SALVADOR (RADIO FAROL)
Codigo Estacao: A456
Latitude: -12.80833333
Longitude: -38.49583333
Altitude: 31
Situacao: Operante
Data Inicial: 2018-03-09
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-09;null;null;null;null;null;null;null;null;null;null;
2018-03-10;null;null;null;null;null;null;null;null;null;null;
2018-03-11;null;null;null;null;null;null;null;null;null;null;
2018-03-12;null;null;null;null;null;null;null;52;9.6;null;
2018-03-13;75;1006.433333;23.020833;31.1;26.654167;23.1;81.166667;59;11.5;2.141667;
2018-03-14;.2;1007.73913;23.569565;35.9;28.591304;25.3;75.782609;44;9.7;2.643478;
2018-03-15;0;1008.520833;23.116667;34.9;28.004167;24.6;76.375;45;9.3;1.9875;
2018-03-16;0;1007.979167;22.241667;33.8;27.479167;24;74.541667;47;7.4;1.679167;
2018-03-17;0;1006.9;22.716667;30.8;26.766667;24.2;78.958333;58;8.5;1.754167;
2018-03-18;8;1006.273913;22.234783;33.7;27.3;24;74.913043;47;7.2;1.686957;
2018-03-19;0;1006.513043;22.421739;32.2;26.852174;24.4;77.304348;53;8.1;1.43913;
2018-03-20;2.8;1007.173913;22.695652;33.8;27.621739;24.1;75.782609;49;8.3;1.621739;
2018-03-21;0;1007.858333;22.95;32.6;27.066667;24.4;79.208333;53;8.1;1.566667;
2018-03-22;1;1007.378261;22.405556;34.6;27.665217;23.9;75;44;9;1.665217;
2018-03-23;0;1007.6;null;33.2;26.3;24.1;null;54;8.1;1.745833;
2018-03-24;15.6;1008.356522;23.282609;25.6;24.130435;23;95;86;8.2;1.156522;
2018-03-25;95;1008.65;22.372727;31.9;26.427273;22.3;80.318182;45;9.4;1.486364;
2018-03-26;2.2;1009.008333;22.325;31;25.733333;22.6;82.166667;58;8;1.141667;
2018-03-27;.2;1009.7875;22.908333;29.7;25.533333;23.6;85.791667;65;8.1;1.0125;
2018-03-28;7.2;1008.619048;null;29.1;null;22.3;null;86;5.9;1.12381;
2018-03-29;1.4;1008;null;32.6;26.179167;22.5;null;75;7.1;1.466667;
2018-03-30;.6;1007.913636;null;32.4;26.4;22.5;null;null;6.4;1.154545;
2018-03-31;0;1008.195455;null;32.8;26.627273;23.3;null;null;7;1.113636;
2018-04-01;0;1007.354167;null;32.6;26.679167;23.6;null;null;8.3;1.279167;
2018-04-02;0;1006.816667;null;32.6;26.741667;22.9;null;null;6.1;1.104167;
2018-04-03;0;1005.443478;null;32.4;26.673913;23.5;null;null;6.2;1.3;
2018-04-04;0;1005.021739;null;33.2;27.113043;23.8;null;null;6.4;1.426087;
2018-04-05;null;1005.222727;null;29.6;25.768182;23.7;null;null;7.3;1.440909;
2018-04-06;.8;1006.154167;null;33.6;27.25;23.9;null;null;6.7;1.304167;
2018-04-07;0;1007.670833;null;32.8;26.5;23.1;null;null;6;1.183333;
2018-04-08;0;1008.595833;null;32.9;26.641667;23;null;null;6.9;1.016667;
2018-04-09;0;1008.770833;null;33.2;26.558333;23.6;null;null;8.9;1.15;
2018-04-10;2;1009.1375;null;31;25.3125;22.5;null;null;10.4;1.141667;
2018-04-11;4;1008.972727;null;27.9;24.477273;22.7;null;null;7.5;.954545;
2018-04-12;8.6;1009.195833;null;28.7;24.6625;22.7;null;null;8;.995833;
2018-04-13;19.4;1010.230435;null;31.2;25.869565;22.9;null;null;6.2;1.2;
2018-04-14;2.4;1011.025;null;31.8;25.6125;23.1;null;null;6.4;.908333;
2018-04-15;0;1011.441667;null;31.8;26.470833;22.8;null;null;6.7;1.070833;
2018-04-16;0;1010.25;null;29.9;25.631818;23.4;null;null;8.2;1.2;
2018-04-17;null;1011.231818;null;27.1;25.104545;23.2;null;null;7.7;1.209091;
2018-04-18;8.8;1012.970833;null;27.4;24.470833;22.6;null;null;9.3;1.558333;
2018-04-19;8.2;1012.517391;null;27.2;24.06087;22.8;null;null;8;1.265217;
2018-04-20;59.4;1011.028571;null;24.5;null;23;null;null;8;1.3;
2018-04-21;null;1009.765217;null;27.3;24.073913;22.4;null;null;10.3;1.36087;
2018-04-22;1;1009.882609;null;29.8;24.652174;21.8;null;null;9;1.004348;
2018-04-23;3.4;1010.695652;null;29.4;24.756522;22;null;null;9;1.108696;
2018-04-24;22.4;1011.0375;null;27.3;24.166667;22.8;null;null;7.6;1;
2018-04-25;32.8;1011.604545;null;29.2;24.7;22.3;null;null;6.2;1.140909;
2018-04-26;0;1010.8375;null;30.2;25.391667;23.2;null;null;7.8;1.045833;
2018-04-27;10.8;1010.591667;null;28.2;25.1625;23.3;null;null;6.4;.8875;
2018-04-28;11.4;1011.291304;null;30.1;25.586957;22.7;null;null;7;1.169565;
2018-04-29;4.2;1011.234783;null;29.2;24.8;22.1;null;null;6.8;1.008696;
2018-04-30;.2;1011.325;null;27.4;24.575;22.5;null;77;7;.958333;
2018-05-01;7.6;1011.35;23.354167;27.8;24.9875;23.1;90.875;81;8.3;1.1875;
2018-05-02;3.2;1011.4625;22.995833;30.7;25.8;23.1;85.541667;61;6.1;1.020833;
2018-05-03;.4;1011.445455;22.731818;30.8;25.359091;23;86.136364;62;7.5;.827273;
2018-05-04;4.2;1010.886957;23.186957;28.5;24.834783;23.1;90.826087;72;8.1;.947826;
2018-05-05;10.6;1011.016667;23.025;28.5;24.125;22.5;93.833333;71;8.1;1.133333;
2018-05-06;10;1011.473913;23.208696;28.2;24.352174;22.4;93.304348;78;8.3;1.23913;
2018-05-07;18.4;1011.391667;22.829167;26.3;24.020833;22.7;93.125;83;8.1;1.091667;
2018-05-08;21.2;1011.080952;22.333333;28.2;null;21.8;92.619048;71;8.5;.82381;
2018-05-09;5.8;1011.075;21.520833;27.1;24.104167;21.3;85.833333;68;8.7;1.2625;
2018-05-10;1.4;1011.091304;null;27.2;24.469565;21.7;null;63;9.4;1.552174;
2018-05-11;null;1011.652381;null;25.4;null;22.7;null;null;10;1.490476;
2018-05-12;8;1010.479167;null;28.3;24.966667;22.4;null;null;4.7;1.1875;
2018-05-13;.2;1009.854167;null;28.7;25.058333;22.8;null;null;5.8;1.120833;
2018-05-14;3.2;1010.269565;null;29.5;25.352174;23;null;null;7.9;1.221739;
2018-05-15;5.4;1010.56087;null;29.3;24.713043;21.8;null;null;7;1.213043;
2018-05-16;.2;1010.473913;null;26.6;23.643478;22.6;null;null;6;.926087;
2018-05-17;22.6;1010.091304;null;29.8;25.017391;22.8;null;null;5;.956522;
2018-05-18;2.2;1010.229167;null;28.9;25.083333;22.6;null;null;6.3;.95;
2018-05-19;.2;1009.577273;null;29.9;25.113636;21.9;null;null;5.1;1.072727;
2018-05-20;0;1007.934783;null;29.4;25.143478;22.3;null;null;5.3;1.317391;
2018-05-21;0;1008.508333;null;30.1;25.6875;23.1;null;null;8;1.175;
2018-05-22;0;1010.854167;null;30.3;25.675;23.4;null;null;6.6;.966667;
2018-05-23;8.4;1012.009091;null;28.4;24.759091;23;null;null;7.4;1.1;
2018-05-24;8.8;1013.375;null;29.2;24.779167;22.3;null;null;8;1.033333;
2018-05-25;2.6;1012.209091;null;27.4;23.8;21.1;null;null;8.7;1.190909;
2018-05-26;9.8;1011.783333;null;26.4;22.741667;21.1;null;null;8.5;1.104167;
2018-05-27;4.4;1012.504348;null;26.7;23.378261;20.6;null;null;8.9;1.556522;
2018-05-28;17;1013.104545;null;27.8;23.572727;21.7;null;null;7.7;1.186364;
2018-05-29;3.6;1013.245833;null;27;23.729167;21.2;null;null;10.7;1.175;
2018-05-30;2.2;1012.613636;null;28.2;23.427273;22.1;null;null;9.6;1.354545;
2018-05-31;9.8;1011.516667;null;26.4;23.333333;20.5;null;null;7.5;1.208333;
2018-06-01;5.2;1010.7125;null;26.5;23.416667;21;null;null;5.9;.8625;
2018-06-02;16.2;1011.470833;null;27.2;23.5125;22.3;null;null;10;1.1375;
2018-06-03;19.2;1012.56087;null;27.2;24.086957;22.6;null;null;5;1.021739;
2018-06-04;11.6;1012.795833;null;28.6;24.483333;22.8;null;null;6.4;.958333;
2018-06-05;20.6;1011.218182;null;25.4;22.7;21.6;null;null;7.9;1.063636;
2018-06-06;14.6;1010.791304;null;27.8;23.752174;21.6;null;null;5.4;.704348;
2018-06-07;.4;1012.3;null;27.6;23.9;21.7;null;null;4.9;.916667;
2018-06-08;1.6;1012.913043;null;27.5;24.234783;22.7;null;null;5.1;1.013043;
2018-06-09;5.4;1013.265217;null;29.5;24.504348;22.9;null;null;6.2;1.065217;
2018-06-10;2;1013.15;null;29.1;23.922727;21.5;null;null;9.1;1.122727;
2018-06-11;6.8;1012.517391;null;28.2;23.291304;21.7;null;null;8.2;.995652;
2018-06-12;10.2;1012.940909;null;27.9;23.740909;21.8;null;null;6.5;.845455;
2018-06-13;2.6;1013.113636;null;28.5;24.118182;21.8;null;null;7.4;.972727;
2018-06-14;2;1013.795455;null;26.2;23.254545;21.5;null;82;6.6;.990909;
2018-06-15;null;1014.768182;20.563636;28.7;23.877273;20.8;82.727273;55;5.8;.831818;
2018-06-16;0;1015.216667;21.358333;28.1;23.758333;21.4;86.75;67;9;.9625;
2018-06-17;.6;1015.783333;20.604167;28.2;24.395833;20.9;79.958333;64;7.7;1.195833;
2018-06-18;.2;1015.995833;20.625;28.3;24.983333;22.7;77.083333;63;9.3;1.233333;
2018-06-19;5.2;1015.613043;21.117391;27.1;23.656522;21.3;86.26087;66;8.6;1.256522;
2018-06-20;1;1015.475;20.566667;28.7;23.5375;20.5;83.958333;62;7.2;.870833;
2018-06-21;14;1014.891304;21.491304;28.4;23.352174;20.9;89.782609;68;6.4;.895652;
2018-06-22;.8;1014.43913;21.33913;27.6;23.578261;21.3;87.565217;69;7.1;.882609;
2018-06-23;0;1013.695238;21.247619;29.2;null;21.6;82.857143;57;6.7;.938095;
2018-06-24;null;1013.138095;20.466667;28.3;null;21.5;79.238095;57;7.7;1.17619;
2018-06-25;2.2;1012.708696;20.534783;28.4;23.169565;20.7;85.869565;60;9.6;1.026087;
2018-06-26;2.4;1012.077273;20.822727;26.8;22.613636;20.7;89.954545;73;7.8;1.077273;
2018-06-27;.6;1013.083333;21.0875;27;23.195833;20.7;88.291667;73;8;1.0625;
2018-06-28;4;1013.013043;20.656522;27.6;23.034783;20.6;87;65;7.9;1.147826;
2018-06-29;.8;1012.108696;21.217391;26;22.913043;21.1;90.434783;72;9.8;.93913;
2018-06-30;null;1010.680952;21.157143;26.6;null;21;88.571429;74;6.5;.952381;
2018-07-01;.8;1010.633333;21.338095;25.4;null;21.2;91.619048;80;5.9;.971429;
2018-07-02;11.6;1011.043478;21.578261;26.5;22.969565;20.4;92.086957;77;6.7;.9;
2018-07-03;5.2;1011.354167;21.3375;27.7;22.883333;20.8;91.208333;71;5.1;.741667;
2018-07-04;null;1012.015;20.675;28;null;20.5;90.2;64;6.5;.85;
2018-07-05;5.4;1012.891667;21.0625;26.8;22.458333;20.1;92;72;10.1;1.041667;
2018-07-06;2.6;1013.268182;20.909091;26.2;22.886364;20.7;88.863636;71;6.2;.854545;
2018-07-07;1.2;1013.341667;20.679167;26.7;23.133333;20.9;86.333333;65;7.4;1.008333;
2018-07-08;.6;1012.95;21.1125;26.1;22.979167;21;89.25;79;5.4;.858333;
2018-07-09;4.6;1013.034783;20.091304;28.1;23.926087;21.8;79.565217;59;6.1;.834783;
2018-07-10;0;1013.7;20.26087;26.8;22.647826;20;86.73913;73;5.1;1.004348;
2018-07-11;0;1013.513636;21.031818;26.8;23.35;20.5;87.090909;69;4.4;.918182;
2018-07-12;0;1014.675;21.304167;27.2;23.2125;21.5;89.208333;72;6.3;.7375;
2018-07-13;3.6;1014.745455;20.895455;26.3;22.490909;20.9;90.818182;72;5.7;.890909;
2018-07-14;2.6;1013.9;20.1625;28.4;22.908333;20.1;85.125;62;5.4;.966667;
2018-07-15;.2;1014.259091;19.719048;28.1;23.290909;20.4;82.142857;58;6.5;1.022727;
2018-07-16;.2;1015.086957;20.36087;27.8;23.591304;20.8;82.869565;61;6.1;.973913;
2018-07-17;.8;1015.1;20.46087;28.7;23.747826;20.2;82.826087;61;7.6;1.121739;
2018-07-18;.6;1014.759091;20.459091;28;22.909091;20.4;86.772727;63;8.4;.968182;
2018-07-19;1.2;1013.416667;19.9375;28.1;23.595833;20.4;81.041667;61;6.5;1.075;
