Nome: EDEIA
Codigo Estacao: A029
Latitude: -17.33694444
Longitude: -49.91472222
Altitude: 608
Situacao: Operante
Data Inicial: 2017-08-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-25;null;null;null;null;null;null;null;null;null;null;
2017-08-26;null;946.3;9.270833;34.4;25.879167;null;37.208333;20;8.1;3.275;
2017-08-27;2.2;945.020833;7.304167;34.8;26.683333;19.7;31.833333;14;8.9;2.2125;
2017-08-28;0;944.729167;3.929167;35.5;27.295833;19.7;24.041667;11;8.8;2.254167;
2017-08-29;0;944.858333;2.304167;36.2;27.608333;19.5;21.125;10;9.1;2.4125;
2017-08-30;0;945.559091;2.727273;36.2;28.181818;20.8;20.5;12;8.5;2.409091;
2017-08-31;0;945.915789;3.778947;36.5;null;18.9;22.473684;13;8.5;2.415789;
2017-09-01;null;947.072727;4.186364;36.1;28.022727;19.4;22.954545;13;14.6;3.436364;
2017-09-02;0;949.090909;8.536364;33.4;26.527273;20.1;33.636364;19;13.4;5.081818;
2017-09-03;0;949.018182;8.904545;32.4;25.154545;18.5;38.5;18;10.6;4.186364;
2017-09-04;null;948.309091;5.713636;31.7;24.622727;18.2;31.272727;16;10.5;4.090909;
2017-09-05;0;948.125;3.983333;32.5;24.704167;16.4;28.333333;14;13.1;2.641667;
2017-09-06;0;946.704545;3.181818;33.8;25.827273;17.5;24.545455;15;10.3;2.890909;
2017-09-07;0;945.647619;4.409524;35.6;null;20.1;24.095238;13;8.2;2.519048;
2017-09-08;0;943.986364;4.881818;35.5;27.636364;20;25;13;9.7;2.490909;
2017-09-09;null;943.942857;4.433333;35.2;null;20.4;23.952381;15;12.8;4.019048;
2017-09-10;0;944.243478;4.408696;36.1;27.378261;18.9;25.173913;12;9;2.643478;
2017-09-11;0;945.440909;7.577273;36.4;28.518182;20.4;28.363636;16;20.6;2.209091;
2017-09-12;0;945.973913;7.926087;35.4;28.247826;21;29.173913;15;13.2;4.413043;
2017-09-13;null;946.790909;5.359091;34.7;27.495455;19.5;25.5;12;13.9;4.231818;
2017-09-14;0;946.777273;7.986364;35;28.186364;22.4;29.590909;16;11;3.618182;
2017-09-15;0;947.231818;6.759091;35.6;27.813636;20.5;29;11;9.9;3.227273;
2017-09-16;0;946.704545;5.059091;35.4;27.422727;20;26.409091;12;15.9;4.013636;
2017-09-17;0;946.927273;5.640909;33.3;26.081818;18.7;27.818182;18;15.5;3.15;
2017-09-18;null;947.027273;6.486364;34.6;26.927273;19.6;29.454545;15;10.5;2.827273;
2017-09-19;0;946.526087;7.330435;35.7;27.969565;20.5;28.478261;16;13.4;3.478261;
2017-09-20;0;946.004348;6.991304;35.3;27.626087;20.1;28.73913;14;9.4;3.295652;
2017-09-21;0;946.4125;7.841667;34.4;27.295833;21.1;30.833333;17;11.1;3.5125;
2017-09-22;0;946.879167;9.9875;30.5;25.845833;22.8;37.166667;27;9.5;3.433333;
2017-09-23;0;946.0375;9.4625;34.8;25.958333;17.7;38.75;19;7.9;2.283333;
2017-09-24;0;944.458333;8.341667;35;27.8;21;30.875;16;9;3.208333;
2017-09-25;0;944.6;6.916667;35.7;27.741667;21.3;27.833333;16;12.8;4.208333;
2017-09-26;0;943.621739;7.113043;35.4;27.691304;20.1;28.173913;18;9;2.956522;
2017-09-27;1.4;944.995833;14.2625;29.5;23.833333;20.2;56.958333;26;11.2;2.791667;
2017-09-28;.4;945.075;13.3;35.5;25.420833;16.9;54.416667;21;10.1;2.104167;
2017-09-29;0;943.6;13.959091;34.8;27.054545;20.2;47.636364;24;16.8;1.9;
2017-09-30;18.8;943.691667;17.65;22;19.616667;18.4;88.666667;77;9.6;2.6125;
2017-10-01;11.4;939.283333;16.666667;33.3;24.216667;16.3;67.416667;35;7.8;1.325;
2017-10-02;0;940.391667;17.35;31.9;23.6875;22.8;70.041667;41;19.8;4.475;
2017-10-03;56.2;946.845455;15.590909;24.8;19.368182;15.8;80.136364;54;9.4;2.65;
2017-10-04;.2;945.516667;15.970833;31.4;23.05;16.7;67.958333;37;8.7;1.7;
2017-10-05;0;943.666667;15.904167;36.3;27.870833;20.3;51.375;25;17.6;3.720833;
2017-10-06;.2;945.225;14.354167;36.4;28.770833;21.1;44.666667;23;10.3;2.8625;
2017-10-07;0;943.875;8.308333;37.7;29.495833;21.2;32.083333;10;9.7;3.058333;
2017-10-08;0;942.7;11.016667;36.7;28.391667;19.6;38.875;16;8.6;1.920833;
2017-10-09;0;942.231818;10.427273;37.4;30.468182;22.4;30.590909;18;9.5;1.986364;
2017-10-10;0;941.952174;11.878261;37.5;30.543478;21.9;33.565217;19;8.5;1.926087;
2017-10-11;0;941.4625;10.541667;38.1;30.379167;23.6;31.541667;15;11.2;2.675;
2017-10-12;0;941.775;8.0875;38.3;30.495833;22.1;26.75;13;12;2.808333;
2017-10-13;0;941.383333;7.491667;37.7;30.5625;22.4;25.083333;14;10.1;2.166667;
2017-10-14;0;941.329167;8.783333;38.7;31.295833;25.4;25.916667;14;8.5;2.283333;
2017-10-15;0;943.118182;16.904545;37.9;29.140909;22.7;51.454545;20;11.7;3.081818;
2017-10-16;0;943.429167;13.591667;39.3;30.9125;22.5;38.916667;17;10.5;2.858333;
2017-10-17;0;944.845833;13.675;36;30.004167;24.2;37.875;24;11.2;3.695833;
2017-10-18;0;944.495652;12.917391;35.4;29.026087;23;38.73913;24;11.8;3.113043;
2017-10-19;0;943.175;7.925;36.6;29.716667;23.6;27;16;10;2.595833;
2017-10-20;0;942.686957;11.691304;36.5;29.582609;22.4;36.913043;19;8.6;2.152174;
2017-10-21;0;942.7375;14.820833;37.4;29.3;22.3;44;22;8.5;2.1625;
2017-10-22;0;945.204167;16.908333;29.9;25.258333;21.7;61;44;14.4;3.9875;
2017-10-23;0;944.908696;17.465217;30.7;24.813043;20.3;66.869565;40;9.7;2.491304;
2017-10-24;0;943.652174;15.921739;32.2;26.765217;22;52.73913;34;9;2.286957;
2017-10-25;0;942.670833;13.716667;36.1;29.141667;23.1;41.375;22;11.6;2.858333;
2017-10-26;0;940.770833;12.020833;37.7;30.879167;24.1;33.375;19;10.3;2.670833;
2017-10-27;1.2;941.075;16.7375;36;28.8625;21.9;51.125;28;12.3;2.466667;
2017-10-28;.8;941.666667;17.045833;35.4;27.095833;21.7;57;30;15.4;3.166667;
2017-10-29;0;943.004348;17.447826;33.1;26.091304;22.4;61.478261;32;8;1.430435;
2017-10-30;null;939.671429;17.442857;35.9;null;22.3;55.952381;28;13.6;2.314286;
2017-10-31;0;941.066667;19.845833;32.3;23.6;21.6;81.291667;44;12.3;2.3;
2017-11-01;23.8;942.713636;19.236364;31.4;25.086364;19.8;72.818182;45;6.9;1.104545;
2017-11-02;.2;943.426087;19.969565;33.4;25.856522;21.8;72.347826;40;11.9;3.334783;
2017-11-03;13;943.069565;19.878261;31.7;25.595652;21.4;72;45;11.2;3.373913;
2017-11-04;0;942.37619;19.761905;33.1;null;22;67.095238;43;11.3;3.461905;
2017-11-05;6;944.182609;19.96087;27.4;22.969565;20;83.956522;61;15.1;3.108696;
2017-11-06;3.6;943.1125;19.054167;32;25.2125;20;72.25;39;8.3;1.354167;
2017-11-07;0;941.5375;19.583333;31.8;24.970833;21.3;73.5;43;11.3;2.958333;
2017-11-08;0;940.679167;19.504167;30.1;25.295833;21.3;71.708333;50;10;3.545833;
2017-11-09;1.2;941.275;20.1375;28.7;24.170833;21.1;79.041667;54;10.2;2.516667;
2017-11-10;.4;939.982609;20.326087;30.1;25.065217;21.4;76.130435;55;8.2;3.026087;
2017-11-11;25.4;939.366667;20.316667;27.6;23.425;20;83.375;64;13.2;2.7875;
2017-11-12;11.8;940.2375;19.0625;30.7;25.154167;21.4;72.041667;39;9;1.829167;
2017-11-13;0;941.090909;12.581818;33.4;26.159091;19.2;46.181818;22;6.5;1.65;
2017-11-14;0;940.943478;10.365217;35;27.343478;19;37;19;5.8;1.143478;
2017-11-15;0;941.656522;16.16087;33.9;26.291304;18.9;55.478261;27;11.3;2.604348;
2017-11-16;.6;943.045;18.6;31.8;null;21.1;64.25;43;11.6;2.62;
2017-11-17;null;941.647826;18.078261;32.5;24.86087;19.2;68.26087;41;12;2.634783;
2017-11-18;0;940.9;19.183333;28.8;24.3;21.3;73.916667;51;12.3;2.595833;
2017-11-19;.4;940.866667;20.041667;27;23.170833;21.6;82.916667;64;11.9;2.8875;
2017-11-20;4.2;941.186957;20.013043;32.5;25.395652;20.1;73.608696;43;11;2.113043;
2017-11-21;0;941.2375;19.4375;32.4;26.633333;22.1;66.416667;41;13.1;2.691667;
2017-11-22;1.8;941.45;20.013636;28.6;23.218182;20.7;83.363636;58;11;3.222727;
2017-11-23;25.2;942.129167;20.0125;31.5;24.529167;20;78.416667;46;6.9;1.808333;
2017-11-24;0;943.491304;20.434783;33.2;26.078261;21.3;73.304348;42;8.8;1.991304;
2017-11-25;0;943.121739;19.795652;33.8;26.956522;22.2;66.73913;39;12.7;2.952174;
2017-11-26;1.6;943.43913;19.934783;29.4;22.930435;21.7;84.086957;59;13.7;2.252174;
2017-11-27;39.6;944.035;19.93;31.3;null;20.1;80;46;4.6;.885;
2017-11-28;null;944.213043;20.765217;32.1;25.304348;22.2;77.347826;46;13.8;1.478261;
2017-11-29;.6;941.965217;20.908696;33.1;25.247826;21.6;79;40;9.4;1.552174;
2017-11-30;29.4;940.2375;20.533333;25.5;22.408333;20.2;89.5;72;9.8;2.275;
2017-12-01;6.2;940.129167;19.975;25.7;22.4375;20.8;86.166667;72;10.3;3.375;
2017-12-02;1.4;940.982609;20.773913;24.1;22.595652;21.4;89.608696;81;9.5;3.4;
2017-12-03;41;941.147826;21.069565;29.7;24.465217;19.7;82.478261;63;8.8;2.76087;
2017-12-04;.2;941.395833;21.104167;32.4;25.541667;21.5;77.791667;49;11.3;1.891667;
2017-12-05;0;942.856522;21.195652;32.7;26.117391;22.4;76.434783;45;10.6;3.047826;
2017-12-06;79.8;942.7375;21.654167;29.8;24.508333;21.6;85.416667;58;8.8;1.233333;
2017-12-07;4.6;941.2;21.183333;29.6;24.004167;21.3;85.166667;59;12.1;2.4125;
2017-12-08;21.2;939.829167;21.3875;27.5;22.775;21.2;91.916667;73;8.8;2.654167;
2017-12-09;6.6;939.134783;21.965217;28.8;24.665217;21.8;85.434783;67;7.9;2.426087;
2017-12-10;5.4;937.9375;21.691667;29.4;24.670833;22.7;84.166667;63;10.2;1.65;
2017-12-11;11.4;939.075;20.4125;27.8;23.45;20.4;83.5;62;7.2;1.770833;
2017-12-12;.2;941.616667;19.8;29.4;23.716667;20.3;79.708333;56;10.8;1.891667;
2017-12-13;0;943.404167;20.4875;26.9;22.566667;20.2;88.583333;69;7.1;1.8625;
2017-12-14;44.6;943.726087;21.078261;29.6;23.578261;20.4;86.73913;60;8.7;2.36087;
2017-12-15;17;943.430435;21.052174;28.4;23.973913;21.3;84.478261;63;8.9;2.643478;
2017-12-16;41.6;943.543478;19.508696;26.4;22.369565;18.3;84.608696;58;12.5;2.76087;
2017-12-17;.6;944.178261;19.234783;29.6;23.817391;19.3;76.826087;55;14.7;2.895652;
2017-12-18;21;944.85;20.054545;30.4;23.640909;19.6;82.454545;47;10.7;1.440909;
2017-12-19;null;944.65;20.381818;32.7;25.636364;21.9;74.136364;46;9;1.547619;
2017-12-20;0;943.3375;20.395833;32.6;25.204167;20.9;76.708333;42;10.7;1.575;
2017-12-21;16.6;942.652174;20.782609;31.9;25.347826;20.9;77.608696;47;8.7;1.091304;
2017-12-22;0;943.979167;19.425;27.4;22.8625;19.7;81.25;63;10.5;2.2125;
2017-12-23;.2;944.291667;19.479167;30.9;24.154167;19.7;76.583333;47;5.5;1.4625;
2017-12-24;0;942.45;19.458333;32.8;26.325;20.8;68.166667;42;7.5;1.091667;
2017-12-25;0;941.977273;20.895455;32.4;25.240909;21.2;78.409091;48;9.7;1.468182;
2017-12-26;13.4;943.278261;21.5;30;24.882609;21;82.304348;59;6.8;1.113043;
2017-12-27;0;943.375;20.916667;33;26.145833;20.2;74.916667;48;9.4;1.608333;
2017-12-28;0;942.079167;20.5625;34.1;26.641667;21.8;71.416667;42;13.6;1.275;
2017-12-29;0;941.7625;20.9875;32.5;26.0625;21.9;74.833333;50;8.9;1.291667;
2017-12-30;null;942.584211;20.857895;31.2;null;20.3;80.842105;53;16.5;1.568421;
2017-12-31;26.4;944.341667;20.579167;27.3;23.195833;20.5;85.666667;68;10.3;1.8625;
2018-01-01;.2;943.516667;20.791667;32.3;26.304167;21.9;73.708333;48;7.8;1.741667;
2018-01-02;0;941.904167;20.6625;27.6;24.0875;21.3;81.583333;67;11.1;1.920833;
2018-01-03;2.4;941.65;20.741667;29.7;24.579167;21.3;80.416667;57;12;2.4625;
2018-01-04;5.4;943.029167;21.345833;26.5;22.833333;20.9;91.541667;75;10.7;2;
2018-01-05;19.8;944.504167;21.095833;28.4;22.929167;21.3;90;66;14.3;1.570833;
2018-01-06;12.2;944.7;21.1375;23.4;22.008333;21.6;94.833333;87;8.4;1.3375;
2018-01-07;29;942.979167;20.220833;30;23.858333;20.5;81.5;54;14.5;2.133333;
2018-01-08;93.2;944.7375;20.1125;27.7;21.508333;19.7;92.166667;67;11.3;1.770833;
