Nome: JANAUBA
Codigo Estacao: A563
Latitude: -15.80277777
Longitude: -43.29694444
Altitude: 532
Situacao: Operante
Data Inicial: 2016-11-18
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-18;null;null;null;null;null;null;null;null;null;null;
2016-11-19;null;null;null;null;null;null;null;null;null;null;
2016-11-20;null;null;null;null;null;null;null;null;null;null;
2016-11-21;null;null;null;null;null;null;61.5;50;6.5;null;
2016-11-22;0;950.95;18.404167;33.7;26.245833;19.7;64.791667;37;9.3;1.879167;
2016-11-23;0;949.918182;18.75;34.5;28.231818;20.6;58.681818;38;6.1;1.427273;
2016-11-24;0;951.065217;20.26087;34.9;28.126087;22.8;64.434783;35;8.9;2.121739;
2016-11-25;0;952.558333;19.266667;34.5;28.745833;22.7;57.833333;39;12.1;3.295833;
2016-11-26;0;952.6;18.369565;34.8;28.308696;22.9;56.913043;36;16.2;3.926087;
2016-11-27;0;952.591304;19.73913;33.5;26.726087;21.7;67.304348;39;12.8;2.626087;
2016-11-28;.6;952.383333;19.141667;33.9;27.7875;23;61.083333;38;12.7;2.85;
2016-11-29;0;950.575;17.895833;36.3;28.641667;21.5;56.333333;28;6.3;1.4125;
2016-11-30;0;949.926087;16.486957;37;29.026087;19.4;50.173913;29;10.3;2.030435;
2016-12-01;0;953.108696;18.317391;33.8;28.2;24.2;55.695652;41;12.7;4.495652;
2016-12-02;0;954.121739;16.908696;34.5;27.086957;21.5;55.434783;36;16.5;4.426087;
2016-12-03;0;951.226087;17.965217;35.1;28.16087;23;55.565217;35;11.3;2.852174;
2016-12-04;0;949.258333;19.516667;31.6;27.270833;23.2;63.5;45;7.8;1.4;
2016-12-05;1.6;950.770833;20.7;34.7;25.370833;23;77.666667;39;12.4;1.445833;
2016-12-06;25.8;952.25;20.7375;33.2;25.575;20.7;77.125;45;5.4;1.154167;
2016-12-07;0;950.670833;20.491667;34.1;26.629167;22;72.041667;42;15.4;1.504167;
2016-12-08;19.8;951.970833;20.7875;29.1;24.229167;20.9;82.375;58;9.6;1.4375;
