Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2017-01-31
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-01-31;null;null;null;null;null;null;null;null;null;null;
2017-02-01;null;null;null;null;null;null;null;73;3.2;null;
2017-02-02;null;1009.066667;22.233333;29.9;25.429167;22.4;83.416667;56;5.6;.954167;
2017-02-03;6.6;1008.725;22.2625;32;27.608333;23.4;74.291667;51;10;1.604167;
2017-02-04;.6;1009.5875;22.9125;33.2;26.508333;24.1;81.333333;50;6.7;1.379167;
2017-02-05;19.6;1008.65;23.016667;31.6;27.141667;22.9;79.083333;56;5.8;1.283333;
2017-02-06;0;1007.191667;23.895833;32;26.9375;23.8;84.208333;56;10.4;1.333333;
2017-02-07;7.6;1009.3375;22.679167;30.7;25.741667;22.6;83.625;66;9.3;1.454167;
2017-02-08;2;1012.65;22.233333;30.7;27.325;25.1;74.041667;62;6.9;1.975;
2017-02-09;3.8;1013.904167;20.8875;31.8;26.875;22;70.958333;53;9.8;2.208333;
2017-02-10;0;1013.025;21.65;31;26.870833;23.1;73.791667;58;8.7;1.666667;
2017-02-11;0;1010.6875;23.629167;32;27.483333;23.8;80.25;60;7.1;1.579167;
2017-02-12;0;1008.429167;23.8625;33.6;28.020833;24;79.458333;51;6;1.525;
2017-02-13;0;1009.516667;23.25;35;28.483333;24.8;75.125;44;6.2;1.733333;
2017-02-14;0;1013.708333;23.0875;33.1;27.975;23.3;76.541667;51;6;1.4375;
2017-02-15;0;1017.108333;23.4875;32.4;27.404167;23.2;79.958333;59;5;1.404167;
2017-02-16;0;1015.7875;23.204167;32.3;26.733333;22.5;82;61;6.4;1.420833;
2017-02-17;0;1012.854167;22.929167;31.2;26.233333;22.5;82.791667;65;5.9;1.329167;
2017-02-18;0;1012.729167;22.716667;31.4;26.545833;23.1;80.333333;57;6.9;1.395833;
2017-02-19;0;1014.391667;22.841667;30;26.054167;22.9;83.041667;68;5.5;1.125;
2017-02-20;0;1016.283333;23.270833;32.5;26.333333;23.9;84;61;7;1.229167;
2017-02-21;0;1016.2;22.633333;32;26.2625;21.9;81.291667;61;6.5;1.408333;
2017-02-22;0;1014.029167;22.858333;32.2;27.116667;23.2;78.75;58;6;1.4375;
2017-02-23;0;1011.645833;23.708333;33.1;27.7125;23.5;79.875;59;6.6;1.341667;
2017-02-24;0;1011.416667;22.5625;32.4;25.954167;24.4;82.083333;60;12.9;1.654167;
2017-02-25;15.2;1010.316667;21.433333;31;25.275;21.6;80.333333;53;6.1;1.070833;
2017-02-26;.2;1011.266667;22.85;31.2;25.2875;23.4;86.75;62;5.5;1.079167;
2017-02-27;5.4;1010.95;22.258333;29.9;25.25;22.3;84.208333;64;6.4;1.179167;
2017-02-28;0;1008.004167;22.133333;30.4;25.554167;21.8;82.083333;63;6.4;1.483333;
2017-03-01;5.4;1005.966667;23.386957;36.9;28.379167;23.6;77.391304;43;9.1;1.516667;
2017-03-02;0;1010.125;23.2625;32.7;26.375;23.9;83.541667;61;11.3;1.3875;
2017-03-03;40.8;null;null;null;null;22.5;null;54;9;null;
2017-03-04;null;null;null;null;null;null;null;null;null;null;
2017-03-05;null;null;null;null;null;null;null;null;null;null;
2017-03-06;null;null;null;null;null;null;null;null;null;null;
2017-03-07;null;null;null;null;null;null;null;null;null;null;
2017-03-08;null;null;null;null;null;null;null;null;null;null;
2017-03-09;null;null;null;null;null;null;null;null;null;null;
2017-03-10;null;null;null;null;null;null;null;null;null;null;
2017-03-11;null;null;null;null;null;null;null;null;null;null;
2017-03-12;null;null;null;null;null;null;null;null;null;null;
2017-03-13;null;null;null;null;null;null;null;null;null;null;
2017-03-14;null;null;null;null;null;null;null;null;null;null;
2017-03-15;null;null;null;null;null;null;null;69;5.5;null;
2017-03-16;1.6;1012.266667;22.9875;30.5;26.008333;22.6;84.458333;58;6.1;1.1875;
2017-03-17;7.6;1012.358333;22.666667;27.9;24.6375;22.8;89.291667;74;12.2;1.475;
2017-03-18;174;1016.758333;21.004167;23;21.816667;21.8;95.125;92;8.8;1.358333;
2017-03-19;113.2;1017.9375;19.508333;21.4;20.383333;19.5;94.583333;92;7.9;1.233333;
2017-03-20;28.8;1018.441667;19.608333;27.7;22.7;19.9;84;57;7.4;1.2;
2017-03-21;.2;1019.5375;19.558333;27.8;22.658333;18.7;83.5;61;6.1;1.2625;
2017-03-22;0;1019.2625;20.158333;28.5;23.795833;19.3;81.083333;58;6;1.25;
2017-03-23;0;1016.770833;19.729167;28.9;23.691667;19.8;79.583333;60;8.4;1.6625;
2017-03-24;0;1013.629167;20.3125;28.6;24.1625;20.3;80.041667;61;6.2;1.25;
2017-03-25;0;1012.804167;20.879167;30.6;24.370833;21.3;82.125;53;7.2;1.216667;
2017-03-26;0;1013.979167;20.458333;29.6;23.8375;20;82.375;58;7.2;1.229167;
2017-03-27;0;1014.725;20.608333;28.3;23.783333;20.6;83.166667;64;5.4;1.0375;
2017-03-28;.2;1015.770833;21.175;28.9;24.291667;22;83.541667;63;7;1.383333;
2017-03-29;4.6;1016.733333;19.6875;28.3;23.570833;20.3;80.125;54;9.4;1.629167;
2017-03-30;2.6;1015.933333;19.4875;27.7;22.658333;20.1;83.208333;58;6.3;1.441667;
2017-03-31;2.4;1017.916667;18.491667;26.9;22.1125;19.6;80.958333;56;6.1;1.345833;
2017-04-01;9.6;1018.933333;18.904167;27.7;22.370833;19.1;81.791667;58;5.9;1.275;
2017-04-02;28;1016.391667;19.704167;28.4;22.766667;19.4;84.25;54;6.7;1.341667;
2017-04-03;.2;1014.983333;20.045833;28;23.491667;19.4;82.25;60;5.7;1.358333;
2017-04-04;0;1014.108333;20.533333;29;24.104167;20.2;81.916667;60;5.7;1.258333;
2017-04-05;0;1011.5625;22.008333;31.2;25.258333;20.7;83.208333;57;5.3;1.183333;
2017-04-06;2.2;1011.3875;22.783333;28.4;25.595833;23.2;84.833333;65;6.8;1.35;
2017-04-07;48;1013.3125;22.654167;27.6;24.2;23;91.333333;74;6.9;1.695833;
2017-04-08;19.4;1015.4375;23.641667;28.9;25.5125;23.6;89.75;77;5.5;1.354167;
2017-04-09;4.6;1015.466667;23.579167;29.2;25.6;24.2;88.666667;75;7.3;1.345833;
2017-04-10;9.4;1014.083333;23.420833;29.3;25.575;22.5;88.541667;71;5.5;1.183333;
2017-04-11;0;1012.55;23.379167;29.9;25.466667;22.5;88.791667;71;5.2;1.058333;
2017-04-12;24.6;1015.6625;21.454167;24.8;22.683333;21.4;92.666667;82;10.7;1.241667;
2017-04-13;46.2;1018.4875;19.904167;23.1;21.145833;20.3;92.75;81;11.7;1.55;
2017-04-14;4.8;1017.9625;19.608333;26.3;22.354167;20.1;85.291667;63;3.6;.9;
2017-04-15;.2;1017.166667;20.704167;27.1;23.033333;20.1;87.416667;67;5.9;1.0625;
2017-04-16;0;1013.791667;20.816667;28.9;23.6625;19.6;85;65;5.1;1.166667;
2017-04-17;42.4;1014.9875;21.054167;24.7;22.125;21.7;93.708333;83;7;.966667;
2017-04-18;62;1018.3375;18.833333;26.7;22.408333;19.9;81.583333;59;6.7;1.233333;
2017-04-19;.4;1018.35;18.041667;26.9;21.8375;17.4;80.541667;57;6.4;1.208333;
2017-04-20;0;1014.220833;19.154167;27.5;22.5;18.1;82.625;59;5.9;1.041667;
2017-04-21;0;1010.245833;20.9875;28.1;23.65;20.9;85.583333;57;9.1;1.295833;
2017-04-22;4.4;1013.779167;19.208333;27;21.991667;19.3;85.458333;58;14.2;1.529167;
2017-04-23;19;1019.016667;18.6125;26;22.075;20;81.416667;59;8;1.570833;
2017-04-24;.2;1017.6125;18.533333;26.7;22.545833;18.9;78.875;59;5.4;1.108333;
2017-04-25;0;1012.579167;20.079167;28;23.2625;19.2;83.5;57;5.4;1.1875;
2017-04-26;0;1007.7125;19.095833;30.2;25.870833;21;67.583333;49;17.5;3.004167;
2017-04-27;7.8;1014.854167;18.6625;29.6;21.820833;20.7;82.708333;48;10.2;1.291667;
2017-04-28;2.8;1021.545833;16.2;22.1;19.466667;17.9;82.083333;59;5.6;1.358333;
2017-04-29;.6;1022.233333;17.479167;23.1;19.825;17.9;86.875;67;5.9;.8625;
2017-04-30;2.8;1022.458333;18.575;25.8;21.425;18.2;84.666667;62;6.2;1.1625;
2017-05-01;.8;1021.7625;18.079167;26.1;20.95;17.1;84.75;61;5.5;1.125;
2017-05-02;0;1019.658333;18.341667;26;21.15;18.5;85.083333;59;4.5;.920833;
2017-05-03;0;1019.383333;18.65;26.2;20.920833;17.4;87.5;66;6;.9625;
2017-05-04;0;1016.445833;19.158333;26.4;21.5;17.6;87.125;66;5;1.133333;
2017-05-05;8.8;1015.1125;19.770833;25.1;21.825;20.5;88.75;60;10.4;1.15;
2017-05-06;20;1016.225;19.295833;26;21.566667;19;87.583333;66;7.5;1.020833;
2017-05-07;4.2;1016.616667;20.179167;26.1;22.241667;20.4;88.708333;70;4.8;1.116667;
2017-05-08;2;1014.245833;19.216667;26.3;21.745833;17.9;86.375;64;5.1;1.158333;
2017-05-09;.2;1012.983333;19.204167;28;22.533333;17.9;83.083333;53;5.2;1.091667;
2017-05-10;0;1016.825;19.666667;26;22.566667;20;84.083333;69;6.8;1.1625;
2017-05-11;19;1019.066667;18.558333;25.4;21.741667;20.3;83.041667;57;7.6;1.379167;
2017-05-12;1;1018.633333;17.541667;25.1;20.895833;18.5;82.5;59;5;1.0625;
2017-05-13;.2;1013.458333;17.829167;26.1;20.820833;16.9;84.083333;58;4.6;1.175;
2017-05-14;.2;1007.141667;17.65;32.2;26.295833;20.1;61.625;38;27.2;3.579167;
2017-05-15;0;1013.516667;18.108333;26.3;21.45;18.1;82.25;58;6.3;1.1;
2017-05-16;0;1016.425;18.104167;25.5;21.029167;18.6;84.291667;60;5.1;1.0875;
2017-05-17;.2;1017.65;17.879167;24.3;20.758333;18.1;84.291667;64;5.7;1.029167;
2017-05-18;.2;1016.45;17.983333;24.8;21.8625;19.5;79.25;63;6.6;1.525;
2017-05-19;26;1011.025;18.745833;22.5;19.8125;19;93.791667;74;5.3;1.020833;
2017-05-20;15.2;1013.1875;19.541667;25.8;21.545833;19.1;88.916667;71;5;.9375;
2017-05-21;0;1014.733333;20.091667;23.2;21.104167;19.6;94.083333;85;4.7;.883333;
2017-05-22;33.6;1016.55;19.675;24.6;21.4875;20.3;89.708333;73;8.2;1.2;
2017-05-23;3.6;1019.841667;17.908333;25.5;20.741667;17.8;84.625;59;6;1.041667;
2017-05-24;.2;1019.179167;18.629167;23.6;20.495833;18.3;89.375;72;5.4;.866667;
2017-05-25;0;1017.9625;18.9375;23.8;20.375;18.2;91.791667;78;5.9;1.045833;
2017-05-26;0;1015.795833;20.058333;29;22.404167;18.8;87.75;60;5.2;1.154167;
2017-05-27;0;1018.016667;20.570833;27.6;22.833333;20;87.458333;69;9;1.258333;
2017-05-28;0;1019.570833;20.8375;24.1;22.183333;20.8;92.041667;82;4.2;.7625;
2017-05-29;.2;1018.195833;19.5625;24.5;21.208333;18.7;90.625;77;5;1.016667;
2017-05-30;.6;1018.391667;19.55;23.3;20.6;19.2;93.791667;81;5.9;.85;
2017-05-31;6;1015.6;19.504167;23.6;20.866667;19.4;92.125;78;4.1;.945833;
2017-06-01;.2;1011.670833;18.425;28;22.6125;18.4;79.083333;53;15.6;2.0875;
2017-06-02;0;1017.533333;13.6375;25.8;21.729167;17.2;61.291667;43;14.5;1.883333;
2017-06-03;0;1019.7875;17.258333;23.6;19.9625;17.1;85.208333;65;5;1.133333;
2017-06-04;0;1015.904167;17.8;25.3;20.191667;16.4;87;62;4.9;1.25;
2017-06-05;0;1013.983333;19.608333;28.1;23.204167;20.2;81.458333;53;10.5;1.8;
2017-06-06;45.2;1013.4125;20.020833;29;23.591667;20.7;82.041667;50;7.6;1.5375;
2017-06-07;6.2;1013.104167;20.229167;29.3;23.766667;20.7;81.5;44;10.4;1.0375;
2017-06-08;0;1008.958333;17.35;34.3;26.558333;19.4;62.791667;28;18.4;2.1625;
2017-06-09;1;1012.2;18.6625;30.6;23.058333;20.9;77.25;44;11.2;1.716667;
2017-06-10;.2;1018.45;9.808333;23.2;18.120833;13.1;60.041667;38;8.3;1.4875;
2017-06-11;0;1018.054167;12.704167;22.9;16.791667;12.6;79.166667;48;5.4;1.229167;
2017-06-12;0;1017.970833;15.15;22.9;17.829167;14;84.958333;65;4.6;1.016667;
2017-06-13;6;1018.95;16.733333;20.6;17.8625;15.7;93.291667;82;4.9;1.008333;
2017-06-14;4.8;1021.533333;17.841667;23.9;19.875;17.1;88.416667;71;15.5;1.258333;
2017-06-15;0;1023.345833;18.125;24.2;20.1875;17.5;88.416667;67;5.1;.891667;
2017-06-16;0;1020.6125;16.7375;25;19.4625;15.1;85.666667;55;5.4;1.045833;
2017-06-17;.2;1016.226087;16.826087;29.9;21.004348;16.1;80.043478;43;8.4;1.208696;
2017-06-18;0;1014.929167;16.866667;30.3;22.195833;17.5;73.583333;36;5.8;1.2125;
2017-06-19;0;1015.908333;15.604167;27.5;23.729167;19.8;63.958333;36;9.3;2.433333;
2017-06-20;72.8;1022.408333;17.866667;19.7;18.608333;18.2;95.375;93;5.6;1.245833;
2017-06-21;51.2;1024.945833;17.883333;21.9;19.170833;17.2;92.166667;77;9.2;1.975;
2017-06-22;1.8;1023.604167;18.183333;24.1;20.129167;16.9;89.166667;72;6.1;.975;
2017-06-23;0;1023.55;17.141667;25;19.6125;15.5;86.833333;63;4.3;.85;
2017-06-24;.2;1024.441667;18.2875;24.6;20.333333;16.4;88.625;69;5.3;1.354167;
2017-06-25;0;1024.7375;17.4875;25.1;20.608333;16.8;83.375;54;5.6;1.245833;
2017-06-26;0;1023.483333;16.479167;23.9;18.933333;15.4;86.5;62;5.6;1.125;
2017-06-27;.2;1022.108333;16.641667;24.5;19.220833;15.5;86.25;59;5.2;1.179167;
2017-06-28;.2;1022.291667;16.516667;24.5;18.954167;14.8;86.5;62;5.4;1.129167;
2017-06-29;.2;1020.545833;17.466667;24.6;19.541667;15.7;88.375;72;4.8;1.091667;
2017-06-30;.2;1018.720833;17.0375;31.4;21.591667;16.2;78.625;34;6.6;1.0875;
2017-07-01;1.6;1022.704167;17.829167;21.5;19.575;17.8;89.875;77;5.1;1.125;
2017-07-02;17.6;1028.170833;15.108333;21.7;18.254167;16.4;82.666667;58;8.1;1.475;
2017-07-03;1.4;1030.445833;13.816667;22;17.8375;14.1;78.666667;54;8.7;1.454167;
2017-07-04;0;1029.241667;13.141667;23.3;17.879167;14.2;75.958333;46;10;1.6375;
2017-07-05;0;1028.145833;13.525;23.3;17.0625;12.6;81.458333;45;5.5;1.133333;
2017-07-06;.2;1025.9875;14.970833;23.5;18.116667;13.8;83.333333;54;5.3;1.1;
2017-07-07;0;1026.054167;15.983333;24.3;18.745833;14.9;85.125;59;5.7;1.1375;
2017-07-08;.2;1025.479167;16.075;23.9;19.091667;14.5;83.791667;57;4.8;1.125;
2017-07-09;0;1024.1375;16.504167;24.8;19.508333;15.6;83.958333;58;5.7;1.225;
2017-07-10;0;1022.9;16.966667;25.3;19.6;15.8;85.75;61;5.2;1.075;
2017-07-11;.2;1023.166667;17.233333;24.7;19.2375;16.4;88.791667;69;4.8;.954167;
2017-07-12;0;1024.7625;16.466667;23.5;18.775;15.1;87.083333;68;6.1;.891667;
2017-07-13;0;1024.504167;16.970833;24.2;19.754167;16;84.916667;60;5.5;1.033333;
2017-07-14;0;1022.879167;17.183333;24.5;19.7375;15.5;85.875;68;5.2;1.170833;
2017-07-15;.2;1019.170833;15.954167;28.6;20.1;15.4;79.291667;41;7.8;1.429167;
2017-07-16;0;1018.320833;13.808333;30.5;22.375;16;62.625;32;12.3;1.791667;
2017-07-17;0;1018.479167;14.15;30.5;23.741667;20.2;57.916667;30;12;2.3;
2017-07-18;10.8;1025.125;13.829167;20.1;15.108333;14.1;92.125;86;9.2;1.854167;
2017-07-19;2.4;1026.408333;12.195833;16.8;14.704167;12.1;84.916667;73;3.9;.883333;
2017-07-20;0;1023.070833;14.9875;20.4;17.441667;14.2;85.875;73;3.8;.8875;
2017-07-21;0;1020.4875;16.3625;23;18.3125;14.6;88.958333;72;5.3;1.029167;
2017-07-22;0;1022.504167;16.7875;23.5;19.379167;16.8;85.583333;61;6.9;1.1375;
2017-07-23;0;1023.341667;16.966667;24.6;19.808333;16.7;84.375;60;5.8;1.075;
2017-07-24;0;1023.8625;16.433333;25;19.533333;15.3;83.666667;54;5.1;1.333333;
2017-07-25;.2;1023.529167;14.9125;30.4;21.195833;14.9;71.458333;35;6.7;1.120833;
2017-07-26;0;1023.016667;15.829167;27;20.016667;15.5;79.083333;43;4.5;1.025;
2017-07-27;0;1023.870833;16.975;24.8;19.2625;15.7;87.333333;67;6.8;1.370833;
2017-07-28;.2;1025.279167;16.070833;24.7;19.041667;14.8;84.458333;55;5.7;1.233333;
2017-07-29;.2;1026.216667;15.979167;25.1;19.279167;14.7;82.833333;57;5.3;1.175;
2017-07-30;.2;1026.008333;17.158333;24.1;19.391667;15.8;87.5;68;5.8;1.145833;
2017-07-31;0;1022.366667;16.125;25.2;19.108333;14.7;84.125;53;5.1;1.204167;
2017-08-01;.2;1018.5;13.541667;28.1;20.170833;14.5;69.333333;33;7.4;1.216667;
2017-08-02;0;1016.108333;13.220833;31.4;22.95;17.5;58.083333;29;12.4;1.745833;
2017-08-03;0;1011.891667;13.141667;28.7;24.620833;19.8;50.541667;29;18.4;3.2375;
2017-08-04;11.4;1020.8875;15.904167;21.9;18.325;17.2;86.125;68;13.2;1.8625;
2017-08-05;45.8;1023.85;14.925;22.8;18.645833;16.7;80.708333;48;7.5;1.445833;
2017-08-06;.6;1023.041667;14.416667;23.4;18.458333;14.8;79.083333;54;6;1.233333;
2017-08-07;.2;1019.1375;14.116667;23.3;17.7125;12.8;81.166667;54;5.1;1.266667;
2017-08-08;0;1013.608333;15.45;33.4;22.633333;15.3;69.291667;31;8.4;1.720833;
2017-08-09;0;1012.4;16.433333;32.3;24.354167;18.4;65.375;28;12.1;2.3125;
2017-08-10;1;1018.883333;16.970833;20.6;18.2875;17;92.208333;82;5.3;.958333;
2017-08-11;4.6;1020.6125;16.5875;23;19.241667;16.6;85.25;64;9.4;1.883333;
2017-08-12;0;1018.491667;16.625;24.3;19.6875;15.7;83.625;61;6.8;1.3875;
2017-08-13;.2;1013.804167;17.3;26.6;20.2;15.8;84.708333;54;5;1.158333;
2017-08-14;0;1015.066667;17.8625;25.7;21.933333;19.3;78.458333;55;12.4;1.341667;
2017-08-15;4;1019.308333;16.641667;20.8;18.3125;17.6;90.083333;76;4.2;1.008333;
2017-08-16;9.6;1018.3625;17.2625;20.9;18.491667;16.6;92.708333;81;4.2;.929167;
2017-08-17;6.6;1018.895833;17.195833;19.1;18.133333;17.9;94.25;88;5.9;1.091667;
2017-08-18;10.8;1018.075;16.9875;20;18.4125;17.1;91.541667;85;4.1;.925;
2017-08-19;0;1014.645833;18.1875;24.3;19.404167;18;93;67;7.9;1.216667;
2017-08-20;2;1012.554167;17.633333;25.8;21.291667;19;81.291667;57;15;2.920833;
2017-08-21;55;1025.845833;15.033333;18.5;16.470833;15.1;91.333333;69;11;1.6625;
2017-08-22;6.8;1026.875;14.6375;20.3;17.508333;15.1;83.833333;66;8.6;1.4875;
2017-08-23;0;1022.545833;15.654167;23.7;18.433333;14.3;84.958333;60;5.6;1.220833;
2017-08-24;0;1022.0125;16.454167;23.4;19.183333;15.5;85;59;5.8;1.341667;
2017-08-25;.2;1020.8875;15.920833;23.7;18.766667;15;84.75;61;5.5;1.179167;
2017-08-26;0;1019.520833;16.775;23.4;19.279167;15.7;86.125;69;6;1.183333;
2017-08-27;0;1017.241667;16.575;24.1;19.308333;14.8;85.041667;65;6.1;1.470833;
2017-08-28;0;1018.3375;16.6625;24;19.958333;16.1;82.125;63;6.4;1.320833;
2017-08-29;0;1017.879167;17.2875;24.5;20.279167;17.4;83.375;63;6;1.2375;
2017-08-30;0;1014.483333;18.416667;25.8;21.220833;16.6;84.541667;72;5.6;1.404167;
2017-08-31;2;1022.0125;17.8375;23.4;19.958333;18.4;87.625;74;11.5;1.295833;
2017-09-01;6.2;1025.908333;16.575;22.7;20.029167;18;81.25;65;10.1;3.204167;
2017-09-02;0;1025.625;16.0625;24.4;19.720833;15.4;80.583333;59;8.2;1.441667;
2017-09-03;0;1023.633333;16.066667;23.3;18.520833;15;86.375;66;6.5;1.191667;
2017-09-04;.2;1019.983333;16.558333;24.8;19.341667;15.3;84.958333;56;6;1.433333;
2017-09-05;.2;1017.204167;16.9;28.8;20.658333;15.6;80.75;44;6.2;1.508333;
2017-09-06;0;1020.091667;17.895833;25.5;21.175;17.7;81.833333;62;10.6;1.6125;
2017-09-07;0;1020.3375;17.5875;24.4;20.570833;18.3;83.791667;63;6.2;1.458333;
2017-09-08;.2;1016.925;17.129167;25.3;19.808333;15.7;85.458333;62;5.6;1.3;
2017-09-09;0;1016.658333;17.733333;25;20;16.2;87.375;69;5.7;1.391667;
2017-09-10;0;1016.775;18.154167;24.5;20.641667;17.7;86.166667;72;6.6;1.466667;
2017-09-11;0;1016.0625;18.745833;26.6;21.370833;16.9;85.833333;66;5.9;1.4625;
2017-09-12;.2;1018.183333;19.175;26.9;21.729167;17.9;85.791667;69;8.1;1.575;
2017-09-13;0;1019.358333;18.8875;24.2;21.491667;20.2;85.25;72;4.8;1.408333;
2017-09-14;0;1015.75;18.620833;29.8;22.5625;17.6;80.041667;48;6;1.483333;
2017-09-15;0;1017.041667;18.9375;31.5;23.466667;18;77.25;49;7.1;1.575;
2017-09-16;0;1019.795833;19.4875;25.3;22.379167;20;83.958333;71;6.1;1.320833;
2017-09-17;0;1018.2375;19.058333;26.4;21.058333;18.3;88.75;69;5.9;1.254167;
2017-09-18;0;1020.3125;19.566667;25.2;21.454167;19.7;89.416667;69;4.4;1.079167;
2017-09-19;.4;1020.629167;19.579167;25.5;22.1;20.5;85.875;72;5;1.291667;
2017-09-20;.2;1020.791667;19.141667;23.2;21.325;20.1;87.5;77;4.5;1.0125;
2017-09-21;0;1019.595833;19.295833;25.7;21.870833;19.7;85.541667;69;6.5;1.479167;
2017-09-22;0;1016.4625;19.491667;27;22.008333;18;86.25;65;6;1.475;
2017-09-23;0;1016.154167;17.925;31;23.9875;18.7;71.583333;31;11.3;2.0125;
2017-09-24;0;1019.745833;19.616667;25.7;23.104167;22;80.875;71;6.8;1.654167;
2017-09-25;0;1020.791667;18.579167;26.8;22.304167;19.8;79.916667;63;6.6;1.679167;
2017-09-26;0;1017.725;17.645833;26;21.245833;17.7;80.833333;55;6.6;1.4375;
2017-09-27;0;1014.108333;18.595833;26.2;21.641667;18;83.5;65;7.4;1.495833;
2017-09-28;0;1016.604167;19.1;25.7;21.766667;19.1;85.166667;67;6.6;1.366667;
2017-09-29;0;1018.058333;19.391667;24.2;21.595833;19.7;87.375;76;6;1.254167;
2017-09-30;10.4;1008.454167;19.3125;29.1;22.583333;19.5;83.25;47;10.3;1.845833;
2017-10-01;13.2;1004.758333;17.641667;33.6;25.170833;19.3;65.583333;34;12.7;2.15;
2017-10-02;0;1005.0125;18.379167;28.7;25.358333;20.4;67.333333;44;13.7;2.679167;
2017-10-03;2.8;1013.670833;16.804167;28.6;23.491667;23.3;66.791667;44;15.3;1.8125;
2017-10-04;0;1018.983333;13.558333;27.5;21.504167;16.8;64.666667;27;11.2;1.55;
2017-10-05;0;1016.004167;16.345833;27;21.3125;16.1;74.791667;42;6;1.591667;
2017-10-06;0;1014.1;20.3375;30.1;23.775;19.6;81.958333;55;5.5;1.466667;
2017-10-07;.8;1017.958333;20.395833;25.9;22.741667;21.9;86.708333;75;20.9;1.875;
2017-10-08;2.8;1015.070833;20.15;25.3;21.670833;19.7;91.291667;77;5;1.079167;
2017-10-09;.6;1012.254167;20.45;26.5;22.529167;19.8;88.5;73;7.6;1.370833;
2017-10-10;0;1012.025;20.9375;28.5;24.0125;20.1;83.916667;61;7.5;1.5125;
2017-10-11;.2;1011.7;21.208333;29.5;24.120833;21.2;84.25;67;9.6;1.729167;
2017-10-12;0;1013.354167;21.279167;26.7;23.6625;21;86.833333;71;6;1.6375;
2017-10-13;.2;1012.4125;21.25;26.3;23.8;22.1;85.916667;73;4.9;1.320833;
2017-10-14;0;1012.375;21.6125;28.3;24.1375;22.4;86.083333;73;8.9;1.733333;
2017-10-15;14;1019.8375;18.6125;22.2;19.983333;19.2;91.875;83;6.5;1.3625;
2017-10-16;11.4;1021.5;18.145833;24.5;21.170833;18.9;83.416667;69;8.2;2.0875;
2017-10-17;.4;1020.1375;19.0125;25.6;22.758333;20.5;79.75;69;8.4;1.895833;
2017-10-18;0;1015.583333;20.216667;27.4;22.941667;18.9;85.333333;67;6.5;1.5;
2017-10-19;0;1009.854167;19.14;36.2;27.570833;20.6;68.55;33;21.2;2.216667;
2017-10-20;0;1014.729167;19.891667;26.9;23.629167;22.3;80.291667;53;13.7;1.5375;
2017-10-21;1.6;1013.754167;21.045833;25.9;22.766667;20.9;90.041667;79;3.9;1.008333;
2017-10-22;.2;1013.029167;20.108333;28.5;23.408333;22;83.125;50;8.7;1.2375;
2017-10-23;27.4;1019.070833;17.85;21.6;19.120833;18.1;92.375;84;10.3;1.704167;
2017-10-24;5.4;1019.229167;17.154167;21.9;19.7;17.5;85.541667;70;3.7;.945833;
2017-10-25;0;1015.458333;19.204167;26.2;22.191667;19.3;83.75;68;5.9;1.3125;
2017-10-26;50;1010.825;19.808333;28.8;23.195833;20.1;82.5;54;13.7;1.720833;
2017-10-27;3.6;1007.591667;20.145833;25.2;22.658333;20;86.083333;74;13.5;1.445833;
2017-10-28;2.6;1003.958333;18.013636;33.7;28.566667;22.8;55.363636;38;20.6;3.375;
2017-10-29;0;1011.608333;20.4875;26.2;22.729167;21.3;87.416667;73;5.7;1.441667;
2017-10-30;1.2;1009.341667;20.258333;25;22.195833;20.6;89.041667;73;5.3;1.133333;
2017-10-31;5.2;1009.883333;20.145833;26.4;22.3125;21.1;88.125;66;8.6;1.4625;
2017-11-01;8.2;1017.891667;16.820833;25.4;21.6375;18.7;75.791667;53;7.2;1.75;
2017-11-02;0;1019.466667;16.7875;25.8;21.883333;18.2;74.041667;53;8.7;2.041667;
2017-11-03;0;1014.029167;17.895833;27.8;22.141667;17;78.125;54;6.4;1.6625;
2017-11-04;0;1008.066667;19.979167;30.7;24.816667;21.2;76.208333;52;14.7;1.566667;
2017-11-05;25.4;1012.483333;20.129167;25.4;21.679167;21.3;91.041667;70;11.6;1.5875;
2017-11-06;21.8;1016.970833;18.545833;23.5;20.720833;19;87.666667;73;6.9;1.429167;
2017-11-07;.4;1016.254167;18.033333;25.6;21.254167;18.1;82.5;63;10.9;2.0375;
2017-11-08;.2;1013.720833;18;26.5;22.379167;19.3;76.791667;59;6.8;1.508333;
2017-11-09;18.2;1012.75;19.4875;25.4;22.108333;19.8;85.291667;75;8;1.425;
