Nome: SAO MIGUEL DO ARAGUAIA
Codigo Estacao: A031
Latitude: -12.82055554
Longitude: -50.33583333
Altitude: 210
Situacao: Operante
Data Inicial: 2017-06-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-06-28;null;null;null;null;null;null;null;null;null;null;
2017-06-29;null;null;null;null;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;null;null;null;null;
2017-07-01;null;991.620833;13.816667;33.9;24.854167;null;55.833333;6.7;null;null;
2017-07-02;0;991.3125;12.866667;34.2;24.470833;16.1;54.125;8.3;null;null;
2017-07-03;0;991.133333;12.85;34;24.583333;15.3;53;9.9;null;null;
2017-07-04;0;992.0875;13.104167;31.5;23.895833;16.7;53.166667;11.9;null;null;
2017-07-05;0;993.104167;11.9625;31.5;23.1375;15.7;53.416667;10.1;null;null;
2017-07-06;0;992.770833;11.816667;31.4;22.883333;14.5;52.875;10.1;null;null;
2017-07-07;0;992.416667;13.558333;32.6;23.583333;15.1;57.583333;7;null;null;
2017-07-08;0;991.858333;13.795833;32.8;24.466667;16.4;55.75;10.2;null;null;
2017-07-09;0;992.379167;13.383333;32.1;23.958333;15.9;55.291667;12.9;null;null;
2017-07-10;0;992.116667;11.954167;32.2;23.4625;15.4;53.125;10.5;null;null;
2017-07-11;0;991.6625;13.8125;33.1;24.225;16.4;55.708333;9.1;null;null;
2017-07-12;0;991.275;14.704167;34.4;25.479167;17.7;55.875;9.3;null;null;
2017-07-13;0;991.441667;13.208333;33.5;24.8;16.5;53.75;11.2;null;null;
2017-07-14;0;991.433333;12.058333;32.6;24.083333;15.7;51;12.1;null;null;
2017-07-15;0;990.745833;12.895833;33;23.345833;14.2;56.375;13.5;null;null;
2017-07-16;0;990.991667;11.804167;33.1;23.883333;14.8;51.958333;10.3;null;null;
2017-07-17;0;991.5875;11.379167;32.6;23.704167;15.4;51.083333;9.9;null;null;
2017-07-18;0;991.641667;13.2125;31;23.016667;16.6;56.041667;10.1;null;null;
2017-07-19;0;990.904167;13.85;32.1;23.616667;16.2;57.291667;8.1;null;null;
2017-07-20;0;991.0875;14.041667;34.1;25.358333;16.7;55.541667;8.2;null;null;
2017-07-21;0;991.345833;13.216667;34.8;25.3;16;52.041667;6;null;null;
2017-07-22;0;990.591667;12.966667;35.8;26.095833;16.9;50.25;6.5;null;null;
2017-07-23;0;990.325;12.05;35.6;26.1;16.6;47.208333;13.6;null;null;
2017-07-24;0;992.170833;9.791667;34.4;25.15;16.8;41.708333;10.8;null;null;
2017-07-25;0;992.45;11.5625;34.3;25.05;16.3;45.916667;9.2;null;null;
2017-07-26;0;991.208333;11.258333;33.2;25;17.4;46.291667;13.1;null;null;
2017-07-27;0;991.145833;10.7125;32.6;23.675;14.9;46.75;10.5;null;null;
2017-07-28;0;991.291667;10.629167;32.4;24.008333;15.9;47.083333;12.5;null;null;
2017-07-29;0;992.25;12.354167;33.6;24.9125;16.8;47.958333;17.8;null;null;
2017-07-30;0;992.954167;12.4125;33;24.495833;16.6;50.125;12.3;null;null;
