Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.092708
Longitude: -48.478605
Altitude: 200
Situacao: Operante
Data Inicial: 2016-11-10
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-10;null;null;null;30.2;null;null;null;63;1.6;null;
2016-11-11;null;984.120833;22.808333;32;25.825;23.4;84.166667;57;9.6;1.7;
2016-11-12;0;983.75;22.4625;26.1;23.5;23.3;94.083333;82;10.1;1.345833;
2016-11-13;40.2;983.995833;22.491667;30.5;25.2375;22.2;85.75;61;5.1;1.233333;
2016-11-14;2.4;982.4125;22.745833;33.9;27.275;22.8;78.916667;43;4.1;1.070833;
2016-11-15;20.2;982.517391;21.947826;30;24.978261;21.3;84.043478;64;13.6;2.669565;
2016-11-16;.2;983.317391;22.217391;31.7;25.304348;21.8;84.26087;59;9.6;1.895652;
2016-11-17;0;983.341667;22.933333;30.8;25.420833;22.4;86.833333;64;6.4;1.5;
2016-11-18;3;983.795833;22.925;27.3;24.375;22.8;91.791667;78;8.9;1.3875;
2016-11-19;1.8;982.8625;22.754167;34.3;25.566667;22.2;86.083333;50;11.1;1.254167;
2016-11-20;26.8;983.841667;22.958333;29.9;24.479167;22.9;91.666667;70;8.4;1.7125;
2016-11-21;7.2;985.229167;21.916667;32.2;26.1875;22.3;79.25;51;8.5;1.95;
2016-11-22;.2;984.108333;22.395833;33.4;26.170833;22.3;81.583333;50;9.7;1.625;
2016-11-23;4;983.675;22.8375;34.1;26.7375;22;81.291667;49;7.9;1.279167;
2016-11-24;.8;984.366667;23.2625;33.8;26.858333;21.9;82.333333;49;10.5;1.091667;
2016-11-25;8.4;984.741667;23.991667;33.2;26.854167;23.1;85.416667;55;8.6;1.333333;
2016-11-26;3.4;983.790909;22.059091;35.4;28.281818;22.6;73.227273;38;8.6;1.663636;
2016-11-27;0;984.654167;22.275;35.1;28.220833;22.4;73.166667;40;8;1.5375;
2016-11-28;0;984.604348;20.982609;37.5;28.513043;21.9;69.913043;25;7.3;1.286957;
2016-11-29;0;983.656522;21.643478;35.8;28.582609;21.9;69.086957;32;9.3;1.791304;
2016-11-30;0;983.7875;22.2;34;27.5375;23;73.875;48;8.5;2.445833;
2016-12-01;0;985.6375;22.4625;33.4;27.120833;23;77.458333;52;13.9;2.2625;
2016-12-02;4.8;986.813043;21.652174;32.4;25.691304;21.1;80.304348;51;7.4;2.026087;
2016-12-03;0;984.866667;22.5625;33.8;26.75;22.8;79.833333;49;8.8;1.325;
2016-12-04;0;984.670833;22.458333;32.2;26.758333;22.6;78.625;56;8.1;1.958333;
2016-12-05;0;985.93913;22.521739;32.3;24.973913;23.1;87.043478;56;15.3;1.286957;
2016-12-06;32;986.075;22.116667;34.9;26.729167;20.9;78.875;44;10.1;1.166667;
2016-12-07;.2;985.508696;21.813043;32.9;26.126087;22;78.652174;53;11.8;1.821739;
2016-12-08;.4;985.966667;22.420833;30.1;24.704167;22.9;87.916667;61;6.3;1.370833;
2016-12-09;6.4;984.995833;22.425;33.4;25.566667;22;84.375;49;17.8;1.608333;
2016-12-10;5.2;985.295833;22.6375;33.8;25.083333;22.7;87.083333;51;14.9;1.320833;
2016-12-11;.2;985.291667;22.5875;33.2;25.975;22.5;82.875;54;6.3;1.525;
2016-12-12;6.2;984.354167;23.375;31.5;25.229167;23.2;89.958333;64;13.6;1.304167;
2016-12-13;44.2;984.366667;22.883333;32.8;26.020833;21.9;83.875;56;8.4;1.583333;
2016-12-14;18;985.833333;22.454167;29.2;24.8125;22.2;87.166667;70;5.7;1.745833;
2016-12-15;.4;986.345833;22.070833;30.9;23.958333;22.7;90;60;14.2;1.354167;
2016-12-16;8.4;986.2625;22.233333;32.4;25.2125;22;84.791667;51;11.9;1.679167;
2016-12-17;.4;986.0875;22.320833;30.3;24.75;22.7;87.166667;61;8.8;1.654167;
2016-12-18;9;985.4875;21.875;28.8;24.233333;22;87.375;65;7.4;1.541667;
2016-12-19;.4;985.654167;21.225;31.5;25.195833;21.9;80.291667;52;8.4;1.820833;
2016-12-20;.2;984.479167;20.833333;32.8;25.933333;21.1;76.375;43;8.3;1.6625;
2016-12-21;0;983.225;22.25;29.7;25.358333;21.8;83.666667;63;11.3;1.391667;
2016-12-22;0;983.995833;22.441667;33.6;27.2875;22.6;77.166667;48;6.1;1.070833;
2016-12-23;0;983.873913;22.5;35.2;28.456522;23.3;73.26087;42;7.9;1.678261;
2016-12-24;0;983.358333;22.875;35.2;28.254167;23;75.166667;44;7.2;1.970833;
2016-12-25;0;983.679167;22.729167;32.6;27.225;23.3;77.416667;55;7;2.354167;
2016-12-26;0;984.1875;22.783333;33.8;27.4125;23.1;77.666667;48;7.7;1.691667;
2016-12-27;0;985.108333;22.070833;33.5;26.420833;21.4;78.583333;51;10.8;1.316667;
2016-12-28;0;985.045833;22.141667;33;24.683333;22.1;87;54;15;1.433333;
2016-12-29;3;985.547826;22.369565;31.1;24.743478;21.1;87.434783;64;8.6;1.56087;
2016-12-30;1.8;985.6125;22.85;29.3;25.479167;22.7;86.041667;66;9.1;1.2125;
2016-12-31;2.6;985.5375;22.85;31.4;26.375;23.1;82.333333;57;5.8;1.35;
2017-01-01;0;985.4625;21.9125;34.4;27.016667;21.8;76.458333;43;6.3;1.229167;
2017-01-02;0;985.170833;22.891667;32.9;26.325;23.4;82.333333;55;6.6;1.641667;
2017-01-03;8.4;985.579167;22.25;28.1;24.020833;22.4;90.125;75;9.5;1.5625;
2017-01-04;22.4;985.670833;21.995833;32.1;25.445833;20.8;83.083333;56;8.3;1.4625;
2017-01-05;0;985.875;21.783333;31.9;23.804167;21.3;89.208333;56;16.6;1.7;
2017-01-06;11.4;985.270833;22.216667;33.6;26.266667;21.2;80.75;48;6.7;1.320833;
2017-01-07;0;985.745833;22.979167;33;25.95;23.8;84.625;55;11.7;1.725;
2017-01-08;22.8;985.120833;22.125;32.1;24.670833;21.2;86.958333;56;14.5;2.304167;
2017-01-09;15.4;985.566667;22.225;31.4;25.0875;21.3;85.166667;60;8.1;1.8;
2017-01-10;.2;984.545833;22.408333;32.8;26.079167;22.1;81.833333;51;7.6;1.941667;
2017-01-11;0;985.616667;21.795833;30.8;23.479167;21.8;90.958333;62;18.4;1.75;
2017-01-12;9;985.3;20.979167;33.8;25.9;20.3;77.541667;45;6.1;1.266667;
2017-01-13;0;984.4875;21.9;33.3;25.358333;21.5;82.916667;50;15.8;1.295833;
2017-01-14;0;985.779167;21.0875;29.3;23.483333;20.4;87.166667;59;12.1;1.7;
2017-01-15;1.2;984.658333;21.541667;32.7;25.616667;20.2;80.208333;52;5.6;1.454167;
2017-01-16;53.8;984.595833;22.195833;31.6;24.829167;21.6;86.458333;56;8.9;2.0125;
2017-01-17;5;984.033333;22.4625;30.3;25.104167;21.6;86.208333;65;5.2;1.095833;
2017-01-18;3.6;986.433333;21.833333;26;23.266667;22.6;91.791667;86;5.9;1.904167;
2017-01-19;23.4;986.416667;21.879167;31.4;24.704167;20.9;85.75;56;5.9;1.329167;
2017-01-20;.2;986.395833;22.291667;32.1;25.7625;21.1;82.916667;54;11.4;1.6;
2017-01-21;11.4;985.6875;22.420833;32.8;25.7125;22;83.291667;55;7.8;1.4625;
2017-01-22;.2;985.779167;22.1;31.6;25.691667;21.4;82.125;55;6.2;1.3625;
2017-01-23;12.6;986.25;22.5125;29;24.654167;21.4;88.166667;71;10.6;1.670833;
2017-01-24;0;988.270833;21.741667;26.7;23.5;22.9;90.166667;75;10.6;2.229167;
2017-01-25;25.8;987.825;21.116667;32.2;25.233333;20.1;80.166667;52;4.5;1.183333;
2017-01-26;.2;987.2;22.691667;31.7;26.2;21.8;82.375;54;4.8;1.170833;
2017-01-27;7;987.421739;23.234783;30.9;25.321739;21.9;89;62;10.5;1.121739;
2017-01-28;10;987.208333;23.166667;32.9;26.316667;22.1;84.333333;52;4.9;1.2375;
2017-01-29;1.2;986.652174;22.421739;33;26.952174;23.3;78.130435;51;8.6;1.426087;
2017-01-30;.2;986.183333;23.375;32.3;26.45;22.3;84.333333;56;11.2;1.266667;
2017-01-31;3.8;986.269565;23.508696;31.1;26.6;24.3;83.695652;59;12.4;1.452174;
2017-02-01;.2;986.120833;22.829167;30.3;24.970833;22.1;88.5;66;8.5;1.7625;
2017-02-02;13;986.383333;22.379167;31.7;25.016667;21.6;86.375;61;11.3;1.608333;
2017-02-03;9.8;986.254167;22.204167;32.4;26.1375;21.7;80.75;53;5;1.395833;
2017-02-04;0;985.454167;23.216667;31.4;25.345833;23.4;88.916667;62;14.1;1.358333;
2017-02-05;6.2;984.934783;22.713043;34.2;26.608696;21.5;81.391304;48;4.9;1.2;
2017-02-06;0;984.525;23.533333;33.9;27.158333;23.4;81.875;52;13.6;1.425;
2017-02-07;2.2;984.4875;23.704167;31.1;25.108333;23.2;92.416667;66;11.4;1.354167;
2017-02-08;12.4;985.3875;22.820833;30.8;24.9875;22.1;88.375;63;10.1;1.975;
2017-02-09;31.8;985.529167;22.933333;30.5;25.55;22.2;86.458333;63;7.6;2.041667;
2017-02-10;5.6;986.152174;22.743478;29;24.634783;23.2;89.652174;67;7.9;1.552174;
2017-02-11;9.4;985.808333;23.045833;29.8;24.920833;22.6;89.916667;65;12.6;1.9625;
2017-02-12;1;984.536364;23.109091;31;25.018182;22.3;90.045455;58;8.8;1.181818;
2017-02-13;null;null;null;25;null;21.7;94.5;85;7.7;null;
2017-02-14;27;986.783333;22.1875;30;24.5125;22.3;88;60;12;1.825;
2017-02-15;9.8;988.741667;21.6125;27.6;23.904167;21.8;87.5;66;7.1;2.275;
2017-02-16;.6;988.254167;21.629167;32.7;26.254167;22;77.833333;50;7;1.741667;
2017-02-17;0;986.729167;22.391667;33.5;26.333333;21.8;80.75;51;7.7;1.520833;
2017-02-18;35.2;987.6375;22.145833;29.6;24.604167;21.1;86.625;63;9;1.895833;
2017-02-19;.2;987.373913;22.4;29.5;25.117391;21.3;85.695652;68;6.4;1.456522;
2017-02-20;7.4;987.172727;22.090909;29.6;25.05;22.4;84.818182;61;7.1;1.418182;
2017-02-21;7.6;986.673913;21.904348;31.8;25.130435;22;83.652174;55;13.5;1.686957;
2017-02-22;3;986.578261;21.895652;29.5;23.917391;21.7;89.217391;63;14.6;2.095652;
2017-02-23;15;986.7;22.275;30.3;24.5;21.7;88.291667;63;11.2;1.5375;
2017-02-24;6.4;985.395833;21.741667;33;25.766667;21;80.791667;52;10;1.079167;
2017-02-25;0;985.545833;22.316667;31.8;25.558333;21.9;83.791667;57;13.7;1.6;
2017-02-26;.6;986.669565;22.113043;30.4;25.108696;21.9;84.826087;57;6.1;1.482609;
2017-02-27;null;985.081818;22.3;33.9;27.281818;22.4;76.681818;48;6.5;1.518182;
2017-02-28;52.6;985.46087;21.73913;26.5;23.421739;20.5;90.565217;76;11.8;2.169565;
2017-03-01;11.2;986.229167;21.791667;27.3;23.383333;20.6;91.125;71;11.7;1.504167;
