Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-07-20;null;null;null;null;null;null;null;null;null;null;
2017-07-21;null;null;null;null;null;null;null;32;6.5;null;
2017-07-22;0;911.391667;7.941667;24.4;18.4375;13.1;52.208333;34;6.8;1.345833;
2017-07-23;0;913.208333;8.1;23.7;17.45;11.8;56.416667;33;8.8;2.520833;
2017-07-24;0;915.041667;7.229167;23.4;16.633333;11.2;55.375;34;9.2;1.8875;
2017-07-25;0;915.091667;9.116667;23.4;17.516667;12.6;59.291667;40;5.8;1.433333;
2017-07-26;0;913.775;7.679167;23.6;17.683333;12.7;54.125;33;7.9;1.5875;
2017-07-27;0;913.2625;7.7375;23.3;17.008333;12.1;56.166667;36;8.1;2.154167;
2017-07-28;0;914.320833;6.983333;22.1;16.258333;11.2;56.125;34;10.6;2.4875;
2017-07-29;0;916.058333;9.3;21.2;15.883333;11;65.541667;47;8.6;2.5375;
2017-07-30;0;915.95;9.166667;22.4;15.954167;12.3;67.041667;38;6.8;2.075;
2017-07-31;0;913.029167;6.6125;21.1;15.5875;11.8;55.875;38;6.3;1.145833;
2017-08-01;0;910.729167;5.979167;21.4;15.4;10.4;55.333333;36;10.2;1.35;
2017-08-02;0;910.154167;5.620833;23.4;16.245833;8.2;51;31;10.2;1.433333;
2017-08-03;0;907.269565;7.504348;26.8;18.03913;12;51.521739;29;12.8;1.678261;
2017-08-04;0;909.279167;8.470833;21.2;15.658333;10.9;63.583333;43;11.3;4.229167;
2017-08-05;0;910.25;7.916667;23;16.145833;10.8;62.166667;30;10.6;3.029167;
2017-08-06;0;910.3375;7.704167;22.8;15.170833;9.1;64.666667;35;7.7;1.9375;
2017-08-07;0;909.8875;7.858333;24.3;16.425;10.5;59.208333;35;7.5;1.6125;
2017-08-08;0;908.495833;8.5375;26.8;19.183333;12.3;52.291667;31;6.5;.775;
2017-08-09;0;907.05;8.095833;29.2;22.058333;14.7;42.583333;24;10.6;1.670833;
2017-08-10;0;907.016667;8.404167;30;23.095833;15.2;40.166667;25;9.4;2.183333;
2017-08-11;0;908.233333;10.141667;26.9;19.6625;12.6;56.625;35;7.4;1.804167;
2017-08-12;0;908.941667;11.225;26.1;18.9;13.1;62.75;41;7.3;1.845833;
2017-08-13;0;907.966667;11.325;27.5;20.175;14;60.041667;32;7.2;1.2375;
2017-08-14;0;907.225;11.3;27.9;21.808333;15.3;52.166667;34;4.8;.858333;
2017-08-15;0;907.083333;13.729167;29;21.033333;17.1;65.208333;34;9.2;1.9875;
2017-08-16;1.8;908.0875;14.066667;23.5;18.383333;15.3;77.083333;54;10.3;1.720833;
2017-08-17;0;907.883333;14.683333;17.7;16.408333;15;89.666667;76;5;.979167;
2017-08-18;6.2;907.9625;15.170833;16.8;15.829167;15.2;95.833333;90;4.6;.5875;
2017-08-19;4.2;906.566667;15.008333;23.4;17.745833;14.4;85;61;7.7;1.641667;
2017-08-20;.2;905.8375;14.0375;28.1;19.8625;15.3;72.583333;35;18.6;2.604167;
2017-08-21;1.4;null;null;21.1;null;14.4;79.058824;53;8.8;null;
2017-08-22;null;913.258333;9.841667;23.5;15.758333;10.5;69.75;46;10.8;3.370833;
2017-08-23;0;912.354167;11.066667;24.3;16.8125;11.7;71.125;43;7.4;1.9375;
2017-08-24;0;911.395833;9.891667;23.1;16.379167;11.6;68.875;35;5.6;1.379167;
2017-08-25;0;910.833333;8.729167;24.6;17.395833;11.8;61.083333;29;7.4;1.808333;
2017-08-26;0;910.016667;6.470833;25.7;18.370833;11.3;48.916667;23;5.8;1.395833;
2017-08-27;0;908.020833;5.35;27.7;20.05;12.9;40.416667;21;7;1.3125;
2017-08-28;0;908.041667;5.808333;28;20.733333;13.8;41;21;6.6;1.4375;
2017-08-29;0;908.266667;5.829167;29.2;21.633333;14.6;38.083333;20;7.5;1.404167;
2017-08-30;0;908.186364;7.131818;30.4;22.877273;15.4;38.590909;23;6.4;1.159091;
2017-08-31;0;909.054545;7.927273;30.7;24.027273;16.4;37;23;8.8;2.4;
2017-09-01;0;912.972727;12.118182;26.1;19.286364;13.3;65.590909;40;9;3.2;
2017-09-02;0;914.36087;8.913043;26;18.495652;12.4;58.347826;27;8.3;2.621739;
2017-09-03;0;913.704348;6.386957;24.9;17.173913;10.6;52.695652;25;9;2.269565;
2017-09-04;null;912.394737;5.884211;25.2;null;11.5;49.421053;24;9.2;2.326316;
2017-09-05;null;911.141667;5.670833;26.7;19.458333;12.9;43.541667;21;7.6;1.679167;
2017-09-06;0;909.881818;3.831818;27.9;21.809091;14;32.181818;19;7.3;1.072727;
2017-09-07;0;909.590476;5.580952;28.3;null;15.8;36.952381;24;11.3;1.514286;
2017-09-08;null;908.071429;5.838095;28.5;null;14.8;38.380952;18;6.6;1.37619;
2017-09-09;0;908.631818;6.568182;27.5;21.031818;14.9;41.090909;24;8.9;2.063636;
2017-09-10;0;908.66087;7.073913;28.3;21.36087;14.8;41.086957;24;10.9;2.595652;
2017-09-11;0;909.759091;9.25;29.3;22.695455;15.8;44.454545;25;9.1;1.45;
2017-09-12;0;910.352174;8.76087;29.5;22.652174;16.5;43.521739;25;8;1.93913;
2017-09-13;0;910.640909;6.472727;28.9;22.372727;14.8;37.954545;21;9.6;2.472727;
2017-09-14;0;910.730435;7.847826;29.9;22.704348;15.6;40.608696;21;12.2;2.486957;
2017-09-15;0;910.595455;4.740909;31.7;24.540909;17.3;30.727273;13;8.3;1.090909;
2017-09-16;0;910.441667;4.916667;31.4;24.204167;18.4;30.583333;14;10.8;1.879167;
2017-09-17;0;909.868182;7.163636;29.5;22.736364;16.4;37.909091;23;8.4;1.290909;
2017-09-18;0;910.169565;8.556522;29.5;23.347826;16.5;40.521739;23;10;1.256522;
2017-09-19;0;910.504348;8.117391;29.3;22.626087;16.6;41.478261;24;9.2;2.126087;
2017-09-20;0;910.540909;8.572727;29;22.386364;16.1;42.863636;26;9.1;2.740909;
2017-09-21;0;910.925;7.720833;27.9;21.445833;15.5;43.416667;24;10.3;2.004167;
2017-09-22;0;910.1;7.179167;26.8;20.625;15.8;43.291667;24;10.8;2.158333;
2017-09-23;0;909.183333;6.9625;29.1;22.1125;14.6;39.5;24;7.1;1.329167;
2017-09-24;0;908.520833;8.0375;29.7;23.008333;17.3;39.666667;25;8.4;2.195833;
2017-09-25;0;909.733333;7.808333;27.8;21.3125;15.3;45.625;19;10.9;3.5125;
2017-09-26;0;908.141667;7.658333;26.9;20.325;13.7;45.916667;28;9.8;2.104167;
2017-09-27;0;906.608333;9.783333;29.3;20.9;16.3;50.583333;28;10.7;1.75;
2017-09-28;1.2;907.358333;11.7875;30.6;21.9625;15.5;55.625;26;12;2.370833;
2017-09-29;2.8;906.375;12.983333;30.2;22.579167;16.5;57.125;31;10;2.991667;
2017-09-30;43;903.066667;16.475;24;17.4;16.6;94.5;51;12.6;2.808333;
2017-10-01;11;900.758333;13.320833;26.6;19.6125;13.5;70.875;43;9.5;1.416667;
2017-10-02;2.2;901.654167;14.9875;23.4;18.925;16.6;79.75;46;11.2;1.208333;
2017-10-03;34.8;906.833333;14.983333;20.3;17.166667;15.1;87.541667;66;5;1.020833;
2017-10-04;.4;908.804167;14.541667;22.6;18.083333;14.8;80.291667;65;6.8;2.075;
2017-10-05;0;908.345833;14.204167;28.6;20.825;15.1;68.833333;42;9;2.195833;
2017-10-06;0;909.03913;14.43913;31;23.595652;17;59.652174;35;8.8;1.513043;
2017-10-07;0;907.6;14.216667;29.1;23.15;18;58;39;11.9;3.258333;
2017-10-08;0;906.670833;14.0125;30.1;22.920833;17.3;60.166667;32;10.3;2.729167;
2017-10-09;0;905.540909;13.631818;31.8;24.063636;18.4;54.454545;29;16.7;1.677273;
2017-10-10;2;905.595833;13.9;32.3;24.475;18.2;53.666667;31;11.4;1.929167;
2017-10-11;0;905.470833;14.170833;32.4;25.095833;18.8;52.541667;31;10.4;2.345833;
2017-10-12;0;905.608696;12.943478;33.5;25.978261;18.9;46.565217;25;17.5;2.730435;
2017-10-13;0;905.183333;11.2125;32.9;26.35;20.3;41.25;20;9;2.279167;
2017-10-14;0;904.366667;8.908333;33.4;26.616667;19.6;34.166667;15;7.7;1.295833;
2017-10-15;0;906.154167;15.291667;32.1;23.65;19;62.5;28;26;2.8625;
2017-10-16;.6;909.804167;14.85;25.1;19.870833;15.2;73.833333;55;9.8;2.966667;
2017-10-17;0;910.541667;13.9875;27.6;21.016667;16.6;66.541667;41;10.1;2.3875;
2017-10-18;0;909.166667;12.45;29.3;22.4375;16.2;56.916667;29;8.6;2.416667;
2017-10-19;0;906.695833;9.675;30.5;23.541667;16.1;43.833333;24;8.7;1.633333;
2017-10-20;0;905.5375;9.6625;30.6;25.108333;19.5;38.75;26;6.8;1.008333;
2017-10-21;0;906.1125;13.1625;29.8;23.8125;19.1;52.666667;35;12.9;2.158333;
2017-10-22;3.6;907.116667;15.229167;24.2;20.991667;17.3;70.5;47;11.9;2.1375;
2017-10-23;2.8;907.5875;16.625;20.5;18.420833;16.9;89.291667;74;6.7;1.55;
2017-10-24;.4;907.525;15.958333;26.5;20.529167;16.5;76.416667;52;7;2.054167;
2017-10-25;0;906.675;15.25;30.1;23.208333;17.6;64.25;38;8.4;2.425;
2017-10-26;0;904.820833;15.045833;25.9;21.825;18.2;65.833333;44;12.2;1.9375;
2017-10-27;3.4;902.429167;16.283333;30.5;22.108333;19.3;71.291667;36;19.3;2.725;
2017-10-28;28;902.8;16.241667;29;21.733333;16.5;73.708333;42;11.6;2.116667;
2017-10-29;15.2;904.241667;16.616667;25;20.5;17;79.25;58;15;2.070833;
2017-10-30;7.4;901.929167;16.633333;27.5;20.5125;17;80;49;15.3;2.345833;
2017-10-31;20.2;901.308333;16.2125;26.6;20.633333;16.6;78.083333;46;9.8;2.770833;
2017-11-01;0;905.754167;13.320833;24.6;19.291667;14.9;68.916667;55;14.7;3.816667;
2017-11-02;0;908.55;12.716667;23.9;18.5625;13.7;69.25;56;9.1;2.5875;
2017-11-03;0;906.845833;13.666667;27.7;20.825;15.1;65.333333;43;9.4;1.991667;
2017-11-04;0;904.25;15.604167;26.1;21.8375;18.3;68.166667;52;9.2;2.675;
2017-11-05;5.2;904.5;16.783333;24.7;20.516667;16.7;80.458333;59;17.1;2.004167;
2017-11-06;0;905.079167;16.316667;27.6;20.908333;17.3;75.833333;50;9;2.4;
2017-11-07;0;905.179167;13.8375;24;19.208333;14.5;72.125;54;7.6;2.533333;
2017-11-08;0;904.8625;14.775;23.5;19.2875;16.1;75.541667;61;8.3;2.1125;
2017-11-09;0;904.8875;16.008333;23.4;19.716667;17.1;79.583333;65;5.6;1.645833;
2017-11-10;0;902.7625;16.995833;25.3;20.479167;17.4;81.125;60;10.7;2.708333;
2017-11-11;6.2;899.0625;18.304167;26.3;20.520833;18.1;87.375;68;13.8;2.2625;
2017-11-12;8.6;899.854167;12.416667;28.1;20.941667;15.2;63.875;23;9.8;2.216667;
2017-11-13;0;902.275;8.091667;29.7;22.5375;16.2;40.958333;24;7;1.8;
2017-11-14;0;904.433333;12.016667;30.1;22.425;15.1;53.625;31;8.9;2.029167;
2017-11-15;0;905.625;14.1625;29;22.695833;17;59.583333;43;9;2.541667;
2017-11-16;0;905.366667;14.933333;29.9;23.670833;17.7;59.333333;37;8;1.554167;
2017-11-17;0;903.2375;14.670833;30.7;23.945833;18.1;58.375;29;8.8;2.0625;
2017-11-18;.8;901.908333;17.141667;28.3;21.291667;18;78.375;50;11.5;1.95;
2017-11-19;5;901.683333;18.504167;26;21.1625;18.3;85.416667;62;7;1.441667;
2017-11-20;12;902.995833;19.041667;24.5;20.4125;18.4;92.166667;74;7.6;1.641667;
2017-11-21;8.4;903.479167;18.758333;24.9;20.945833;18.8;87.666667;72;9.3;2.3125;
2017-11-22;21.6;901.320833;18.6375;21.7;19.575;18.2;94.416667;85;11.3;2.808333;
2017-11-23;25.8;904.191667;16.65;23.6;19.375;16.8;84.416667;71;6.8;2.445833;
2017-11-24;0;906.575;16.025;26.5;20.041667;15.3;79.333333;54;7.5;1.266667;
2017-11-25;0;906.1;17.779167;28.9;22.8375;17.5;74.916667;48;8.5;2.504167;
2017-11-26;44.2;904.941667;17.954167;23.3;19.7125;17;90;70;13.2;2.229167;
2017-11-27;1.8;905.5;18.370833;23.6;20.854167;17.9;86.375;71;7.9;.9125;
2017-11-28;.2;905.779167;17.925;28.7;21.65;18.1;80.458333;51;20.5;2.2125;
2017-11-29;16.8;904.495833;16.091667;28;21.008333;16.5;74.5;46;10;2.116667;
2017-11-30;0;902.325;15.841667;25.7;19.766667;16.7;78.708333;62;7.3;2.3875;
2017-12-01;16;902.375;16.508333;18.8;17.3125;16.1;95.125;85;6.1;1.5125;
2017-12-02;9;902.979167;17.15;23.6;19.266667;16.5;88.166667;71;6.3;1.579167;
2017-12-03;1;902.091667;17.829167;27.6;21.070833;17.6;82.375;61;10.7;1.754167;
2017-12-04;.4;901.804167;19.108333;28.3;23.091667;18.6;79.875;56;8.4;1.45;
2017-12-05;.2;903.591667;18.716667;30.9;24.366667;19.7;72.5;45;7.7;1.75;
2017-12-06;0;904.3125;17.925;28;22.816667;19.4;74.666667;55;7.7;2.033333;
2017-12-07;28.6;902.0875;18.5625;25.9;20.633333;18.4;88.375;67;7.3;2.316667;
2017-12-08;52.6;898.583333;18.675;29.5;22.420833;17.8;81.708333;50;9.7;2.5375;
2017-12-09;.2;899.516667;17.4625;29;22.208333;17.9;75.666667;49;14.7;2.0375;
2017-12-10;4.2;898.045833;16.225;28.7;23.1875;17.7;66.375;46;6.8;1.641667;
2017-12-11;0;898.770833;15.720833;29.6;23.2125;19.5;63.75;34;9.2;1.533333;
2017-12-12;.4;903.925;16.004167;28.7;22.166667;17.2;69.5;46;8.4;2.5625;
2017-12-13;0;907.166667;15.566667;26.7;20.9875;16.7;72.208333;50;7.2;1.8125;
2017-12-14;0;907.383333;16.266667;26.5;21.133333;17.3;74.375;54;7.4;1.908333;
2017-12-15;0;905.758333;17.283333;28.2;22.233333;18.3;75.041667;49;9.7;1.8625;
2017-12-16;0;905.420833;16.429167;30.1;21.904167;16.8;73.458333;38;14;2.041667;
2017-12-17;3;906.379167;17.454167;29.7;21.433333;17;80.541667;44;10.7;1.516667;
2017-12-18;5.2;907.225;16.970833;30.3;22.779167;17.1;72.708333;41;7.3;1.295833;
2017-12-19;0;907.7625;16.995833;29.6;23.566667;19.2;67.583333;47;8.4;2.1625;
2017-12-20;0;905.8875;14.9875;28.9;23.558333;18.2;60.375;40;8.4;1.9625;
2017-12-21;0;904.5;16.191667;27.9;21.858333;19.4;72.291667;46;17.3;1.395833;
2017-12-22;7.2;905.829167;18.104167;20.9;19.266667;17.8;92.916667;84;5.1;.870833;
2017-12-23;4.4;905.533333;18.204167;26.8;21.329167;17.1;83.5;58;12.9;.958333;
2017-12-24;2;903.725;19.0625;28.6;22.466667;18.2;82;54;12.1;1.175;
2017-12-25;.8;903.1125;18.370833;30.7;23.85;20;72.375;43;14.9;1.883333;
2017-12-26;0;904.783333;18.225;30.2;23.2625;19.1;74.75;50;22.7;2.15;
2017-12-27;3.2;905.4125;18.575;30.1;23.025;17.5;77.208333;50;16.9;1.754167;
2017-12-28;22.4;904.5375;18.266667;29.9;22.379167;17.3;79.416667;50;8.1;1.520833;
2017-12-29;7.6;904.008333;18.545833;26.9;21.5625;17.9;83.666667;63;9.1;1.3375;
2017-12-30;34.4;903.754167;18.095833;22.3;19.433333;17.4;92.125;81;16.2;1.733333;
2017-12-31;9.8;904.270833;17.858333;23.9;19.991667;17.7;87.916667;68;10.8;1.883333;
2018-01-01;.2;903.7;18.2125;28.7;22.454167;18;78.541667;53;11.2;1.495833;
2018-01-02;.8;901.595833;18.833333;27.4;22.791667;19.4;79.375;58;8.6;1.8875;
2018-01-03;.6;900.766667;18.845833;26.6;21.595833;19.1;84.833333;64;10.4;1.5375;
2018-01-04;13.6;903.7375;18.4625;25.1;20.7;18.5;87.291667;69;9.3;2.654167;
2018-01-05;2.4;905.375;18.25;25.4;20.041667;17.2;89.875;69;10.4;1.820833;
2018-01-06;9;905.629167;18.779167;24;20.1125;18.2;92.375;70;8.1;2.158333;
2018-01-07;20;905.045833;18.6;23.9;19.933333;18.1;92.375;75;9.8;1.783333;
2018-01-08;18.2;907.441667;17.945833;23.6;19.041667;18;93.75;72;9;1.595833;
2018-01-09;25.6;909.025;16.545833;27.6;21.633333;16.9;75.25;45;7;2.375;
2018-01-10;.2;909.608333;16.566667;28.9;23;18.2;68.291667;47;8.1;1.945833;
2018-01-11;0;908.2375;17.504167;27.5;22.529167;18.8;73.791667;53;6.8;1.354167;
2018-01-12;5.6;906.3;16.608333;25.8;19.9125;17.1;82.166667;48;13.4;1.691667;
2018-01-13;.4;904.604167;16.666667;28.8;20.65;16.5;79.25;50;8.9;2.066667;
2018-01-14;.2;905.8625;17.4625;28.4;21.229167;17.5;80.5;48;10.8;1.545833;
2018-01-15;5.8;907.145833;18.05;27.5;20.245833;18;88.041667;61;9;1.370833;
2018-01-16;12;907.9125;17.2375;29.1;21.741667;17;78.166667;48;8.1;1.375;
2018-01-17;0;906.95;17.758333;30.9;24.858333;19.9;66.333333;43;7.2;1.866667;
2018-01-18;0;906.941667;16.633333;30.4;25.3125;20.7;60.5;37;9.2;2.004167;
2018-01-19;0;906.754167;14.6625;31.1;24.9375;19.7;54;35;8;1.691667;
2018-01-20;0;906.179167;16.4625;31.2;24.129167;19.4;64.541667;32;7.7;1.854167;
2018-01-21;0;905.620833;15.845833;31.1;24.075;19.2;62.916667;30;7.8;1.979167;
2018-01-22;0;904.054167;16.641667;32.4;24.1625;20.3;64.291667;34;14.9;2.108333;
2018-01-23;0;904.616667;16.495833;31.4;23.4125;18.7;67.541667;40;12.7;1.845833;
2018-01-24;0;904.6375;17.670833;30.2;22.354167;18.5;76.25;49;17.1;2.295833;
2018-01-25;0;903.5125;17.954167;31.7;23.754167;18.9;72.208333;41;12.3;1.566667;
2018-01-26;.2;903.641667;17.316667;30.6;23.229167;19.5;72.333333;38;13.7;2.4625;
2018-01-27;1.6;903.858333;18.083333;29.7;22.954167;19.4;75.291667;50;9.8;2.191667;
2018-01-28;4.2;903.4125;18.583333;29.1;22.975;18.9;77.875;52;6.6;1.254167;
2018-01-29;.2;901.479167;19.141667;29.7;23.166667;20.5;79;52;7.7;1.216667;
2018-01-30;4.2;900.55;19.5;27.8;20.758333;19.1;93.25;62;12.2;.716667;
2018-01-31;30.4;901.1375;17.066667;27.6;20.891667;16.7;80.583333;51;11.6;3.2375;
2018-02-01;0;902.158333;14.4;29.4;21.6375;15.9;65.25;42;8.9;2.25;
2018-02-02;0;900.95;16.641667;28.8;22.025;16.4;72.875;51;37.5;1.570833;
2018-02-03;0;900.079167;17.470833;29.9;23.108333;18.9;72.208333;47;10.5;1.875;
2018-02-04;3.8;902.583333;16.666667;25.9;20.4125;17.1;79.708333;56;10.5;2.445833;
2018-02-05;3.2;902.241667;15.975;20;18.195833;16.3;87;74;7.9;2.1625;
2018-02-06;1.6;901.483333;16.770833;25.7;19.345833;16.8;85.583333;63;8.6;1.129167;
2018-02-07;.2;902.4125;15.358333;29.7;22.45;17.7;69.083333;29;10.2;1.879167;
2018-02-08;0;903.983333;13.333333;30.1;22.9625;16;56.333333;35;6.4;1.35;
2018-02-09;0;905.291667;15.975;31.6;24.370833;18.4;61.083333;37;8.1;1.7;
2018-02-10;2;906.008333;19.470833;27.3;22.354167;20.4;83.958333;49;8.3;1.016667;
2018-02-11;1.2;905.633333;18.941667;31.1;23.933333;18.9;75.958333;44;7.5;.775;
2018-02-12;0;904.829167;19.395833;29.4;24.458333;20.1;74.25;54;5.9;1.329167;
2018-02-13;14.2;906.433333;19.308333;25.4;21.229167;20.4;89.166667;64;14.1;1.5625;
2018-02-14;44.4;908.345833;17.779167;27.3;22.2625;18.3;76.458333;58;8.6;2.916667;
2018-02-15;.2;909.316667;16.870833;27.5;21.833333;18.9;74.416667;49;13.1;2.654167;
2018-02-16;0;909.666667;15.8875;29.1;21.379167;17.1;73;38;9.3;2.345833;
2018-02-17;0;907.454167;16.216667;29;22.2875;17.4;70.416667;44;8.4;1.825;
2018-02-18;2;905.425;17.708333;27.3;20.8375;18.3;83.083333;56;11.9;2.183333;
2018-02-19;3.2;903.716667;17.808333;27.2;20.779167;17.1;84.25;55;7.4;1.3375;
2018-02-20;6.6;903.083333;19.0625;26.6;21.2875;18.5;87.916667;61;7.7;1.225;
2018-02-21;5.6;902.241667;19.65;25.9;21.95;19.3;87.208333;69;8.6;.879167;
2018-02-22;2.4;902.3125;18.3;29.5;22.591667;18.1;79.25;46;6.1;.954167;
2018-02-23;.2;903.808333;18.233333;29.4;23;18.7;75.916667;49;10.6;2.0625;
2018-02-24;1.4;905.775;18.4;27;21.520833;18.5;83.625;60;12.8;2.529167;
2018-02-25;8.6;906.241667;17.854167;27.1;21.570833;18.1;80.291667;57;8;2.125;
2018-02-26;1;906.454167;18.491667;22.5;19.95;18.8;91.333333;78;10.3;1.458333;
2018-02-27;6.6;905.729167;18.254167;26.5;20.1625;17.8;89.375;62;10.3;1.179167;
2018-02-28;1.8;904.716667;18.775;30.2;21.808333;18.1;84.375;48;10.6;1.429167;
2018-03-01;.2;906.366667;19.054167;29.3;21.933333;18.9;84.708333;57;18.5;1.729167;
