Nome: BAIXA GRANDE DO RIBEIRO
Codigo Estacao: A375
Latitude: -8.333531
Longitude: -45.094625
Altitude: 519
Situacao: Operante
Data Inicial: 2018-03-22
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-22;null;null;null;null;null;null;null;null;null;null;
2018-03-23;null;null;null;null;null;null;null;78;5;null;
2018-03-24;null;952.5;21.204167;27.6;22.954167;21.3;90.083333;70;10.2;1.754167;
2018-03-25;5.8;952.5125;21.383333;30.8;24.1125;21.2;86.208333;51;8.9;1.245833;
2018-03-26;47.2;954.145833;20.404167;25.6;22.333333;19.7;89.083333;72;8.9;1.25;
2018-03-27;.2;953.4125;null;30.6;24.1625;20.2;88.214286;65;9.8;1.6625;
2018-03-28;.6;952.116667;null;31.2;25.579167;22.1;null;null;10.7;2.3625;
2018-03-29;0;951.566667;null;31.3;25.195833;20.5;null;null;9.4;1.6375;
2018-03-30;1.4;952.025;null;30.1;24.9125;20.9;null;null;10.4;1.829167;
2018-03-31;0;951.904167;null;31.8;25.7875;21.4;null;67;7.8;1.504167;
2018-04-01;0;950.95;null;32.2;26.25;21;null;null;9.7;1.633333;
2018-04-02;0;951.041667;null;32.4;26.325;21;null;68;7.3;1.425;
2018-04-03;0;950.408333;null;33;26.295833;20.7;null;null;7;.858333;
2018-04-04;0;950.5875;null;30.1;24.529167;21.8;null;null;7.9;1.645833;
2018-04-05;.6;950.845833;null;30;24.616667;21.7;null;null;7.7;1.9875;
2018-04-06;2.6;951.7125;null;28.5;23.5625;21.6;null;null;9;1.545833;
2018-04-07;.8;952.708333;null;27.9;23.183333;20.4;null;null;9.9;1.225;
2018-04-08;.2;953.579167;null;29.9;23.8625;21.6;null;null;8;.933333;
2018-04-09;9.2;953.025;null;30.9;24.35;21.1;null;null;9.1;1.370833;
2018-04-10;2.6;953.404167;null;28.1;22.616667;21.8;null;null;11.9;1;
2018-04-11;30.6;953.391667;null;29.9;23.795833;19.3;null;null;6.5;.9875;
2018-04-12;.2;953.366667;null;29;24.508333;21.3;null;null;7.7;.8625;
2018-04-13;0;954.433333;null;28;23.945833;21.4;null;null;7.3;.7375;
2018-04-14;0;955.325;null;30.1;24.479167;21.2;null;null;9.7;1.808333;
2018-04-15;0;955.158333;null;31.5;25.1875;19.6;null;null;9.6;1.8875;
2018-04-16;0;954.345833;null;31.3;25.429167;20.1;null;null;8.7;1.45;
2018-04-17;0;954.741667;null;31.4;25.341667;20.2;null;null;10;1.720833;
2018-04-18;0;955.691667;null;31.6;25.195833;20.1;null;null;10;2.625;
2018-04-19;0;955.85;null;32;25.733333;20.2;null;null;10.9;3.070833;
2018-04-20;0;954.758333;null;32.9;26.0875;20.5;null;null;8.9;2.658333;
2018-04-21;0;953.054167;null;32.3;25.683333;20.8;null;null;9.1;2.895833;
2018-04-22;0;952.7625;null;32;25.745833;21.1;null;null;10.5;2.379167;
2018-04-23;0;953.4625;null;32.3;25.629167;20.4;null;null;11.3;1.9625;
2018-04-24;0;954.2875;null;31.6;25.5125;20.8;null;null;9.9;1.8875;
2018-04-25;0;954.691667;null;32;25.554167;20.2;null;null;9.5;2.416667;
2018-04-26;0;954.4625;null;31.2;24.620833;20.1;null;null;9.5;2.466667;
2018-04-27;0;953.829167;null;32.7;25.379167;19.4;null;null;10.1;2.25;
2018-04-28;0;954.216667;null;33.1;25.554167;19;null;null;10.1;2.354167;
2018-04-29;0;954.2125;null;32.5;25.4875;19.5;null;null;11.8;2.2625;
2018-04-30;0;954.320833;null;32.3;25.629167;19.4;null;null;9.6;2;
2018-05-01;0;954.858333;null;33.4;26.041667;20.5;null;null;8.6;1.970833;
2018-05-02;0;954.741667;null;32.9;26.15;20.7;null;null;10.8;2.108333;
2018-05-03;0;954.570833;null;32.7;25.641667;20.2;null;null;10.9;2.275;
2018-05-04;0;953.745833;null;33;25.595833;20.2;null;null;9.2;2.475;
2018-05-05;0;954.454167;null;30.2;24.6;19.8;null;null;9.4;2.1125;
2018-05-06;0;954.816667;null;33;24.9;18.2;null;null;10.9;2.658333;
2018-05-07;0;954.733333;null;33.2;25.354167;19.6;null;null;9.6;2.741667;
2018-05-08;0;954.533333;null;32.2;25.266667;19.6;null;null;10.7;2.266667;
2018-05-09;0;954.070833;null;33.7;25.341667;19.1;null;null;9.3;1.958333;
2018-05-10;0;954.1875;null;32.7;25.616667;19.6;null;null;11.3;1.8375;
2018-05-11;0;954.329167;null;33.8;26.133333;20.2;null;null;8.1;1.770833;
2018-05-12;0;953.9625;null;33.7;26.6;20.4;null;null;8.5;1.545833;
2018-05-13;0;953.3125;null;33.3;26.05;20.3;null;null;7.3;1.216667;
2018-05-14;0;952.891667;null;33.6;26.475;21.1;null;null;10.8;2.191667;
2018-05-15;0;953.266667;null;33;26.233333;20.8;null;null;12.6;2.675;
2018-05-16;0;953.545833;null;33.2;25.4625;18.6;null;null;9.4;1.716667;
2018-05-17;0;953.3875;null;34.4;26.675;21.3;null;null;8.6;1.3;
2018-05-18;0;952.85;null;33.6;26.541667;19.9;null;null;10.6;1.791667;
2018-05-19;0;953.258333;null;33.1;26.045833;19.9;null;null;11.1;1.625;
2018-05-20;0;953.0875;null;32.9;26.4625;20.3;null;null;6.6;.929167;
2018-05-21;0;952.416667;null;33.6;26.404167;20.1;null;null;8.4;1.170833;
2018-05-22;13.8;953.583333;null;33;26.179167;20.5;null;null;9.7;1.6;
2018-05-23;0;954.8875;null;33.2;25.620833;20.3;null;null;11.3;1.808333;
2018-05-24;0;955.804167;null;33.3;26.120833;20.2;null;null;11.6;2.2375;
2018-05-25;0;954.841667;null;32.5;25.525;19.5;null;null;11.2;3.4625;
2018-05-26;0;954.2875;null;31.5;25.0375;20.2;null;null;11.5;3.5375;
2018-05-27;0;954.725;null;32.9;25.0125;19.6;null;null;10.8;3.108333;
2018-05-28;0;955.395652;null;32.4;25.256522;20.4;null;null;10.3;3.534783;
2018-05-29;0;955.630435;null;32.1;24.6;19.8;null;null;10.5;3.652174;
2018-05-30;0;955.572727;null;31.8;24.122727;18.8;null;43;10.2;2.881818;
2018-05-31;0;954.413043;null;32.2;24.208696;18.9;null;null;10.6;2.482609;
2018-06-01;0;953.834783;null;33;24.643478;19;null;45;10.4;2.273913;
2018-06-02;0;954.308696;null;33.2;25.521739;18.8;null;null;9.2;2.021739;
2018-06-03;0;954.713636;null;34.4;26.159091;19.2;null;null;9.6;1.240909;
2018-06-04;0;954.9;null;33.7;26.666667;20.4;null;null;10;2.1625;
2018-06-05;0;954.025;null;33.3;26.275;20.5;null;null;13.5;3.1;
2018-06-06;0;953.316667;null;33;25.695833;18.1;null;46;11.3;1.4;
2018-06-07;0;955;null;34.3;26.695455;20.3;null;null;9.3;1.431818;
2018-06-08;0;955.475;null;34.6;27.225;20.9;null;null;10.1;1.4875;
2018-06-09;0;955.829167;null;33.1;25.883333;20.7;null;null;10.7;1.6625;
2018-06-10;0;954.954167;null;33.9;25.991667;20.1;null;null;13.3;2.716667;
2018-06-11;0;954.96087;null;32.7;25.091304;19.9;null;null;11.1;2.721739;
2018-06-12;0;955.213043;null;33;25.086957;19.5;null;null;9.6;2.852174;
2018-06-13;0;955.4;null;32.6;25.382609;19.4;null;null;11.4;2.482609;
2018-06-14;0;955.954167;null;33.4;25.791667;19.1;null;null;11.3;2.883333;
2018-06-15;0;956.458333;null;33.3;25.429167;18.9;null;39;11.1;2.954167;
2018-06-16;0;957.108333;null;33.6;25.475;19.4;null;null;11.5;3.258333;
2018-06-17;0;957.795833;null;32.7;25.683333;20.1;null;41;11.4;3.445833;
2018-06-18;0;958.0375;null;33.2;25.670833;19.2;null;null;10.6;3.1375;
2018-06-19;0;957.116667;null;32.9;25.608333;19.7;null;40;11.8;3.7625;
2018-06-20;0;957.354167;null;31.9;24.629167;20;null;null;13.3;4.7875;
2018-06-21;0;null;null;29.6;null;17.2;58.583333;37;10.7;null;
2018-06-22;null;956.358333;null;32;24.641667;19.1;null;null;11.8;3.279167;
2018-06-23;0;954.917391;null;32.5;25.147826;19.1;null;45;12.2;3.130435;
2018-06-24;0;955.079167;null;31.8;24.4625;18.3;null;null;11.8;3.079167;
2018-06-25;0;954.868182;null;31;23.745455;18.3;null;null;9.4;2.327273;
2018-06-26;0;954.613636;null;31;23.318182;15.7;null;32;9.9;2.204545;
2018-06-27;0;954.8875;null;32.9;25.008333;18.3;null;null;10.5;2.725;
2018-06-28;0;954.504167;null;32.5;25.0875;19;null;38;12.2;3.3625;
2018-06-29;0;954.45;null;31.7;24.7875;19.9;null;null;10.8;3.433333;
2018-06-30;0;953.5375;null;32.6;24.741667;18;null;37;10.8;2.970833;
2018-07-01;0;953.208333;null;32.3;25.075;18.4;null;34;9.8;2.8125;
2018-07-02;0;953.275;null;33.1;25.558333;17.7;null;35;11.3;2.758333;
2018-07-03;0;953.708333;null;33.7;26.295833;20.7;null;null;10.2;2.341667;
2018-07-04;0;953.8;null;33.8;25.3625;15.5;null;37;10.9;2.329167;
2018-07-05;0;954.570833;null;32.2;24.825;19;null;null;12.3;3.6125;
2018-07-06;0;955.058333;null;33;24.65;18;null;40;11;2.770833;
2018-07-07;0;954.916667;null;33.4;25.870833;19.2;null;null;12.8;3.158333;
2018-07-08;0;955.233333;null;32.3;25.233333;18.4;null;null;10.3;2.245833;
2018-07-09;0;955.229167;null;33.3;25.275;16.5;null;40;10.2;2.575;
2018-07-10;0;955.566667;null;33.6;25.908333;19.3;null;null;10.1;2.6875;
2018-07-11;0;955.8625;null;32.5;25.429167;18.1;null;37;8.3;1.258333;
2018-07-12;0;956.1125;null;34;26.908333;20.4;null;null;9.1;1.475;
2018-07-13;0;955.933333;null;33.3;27.3625;21.6;null;null;10.2;3.179167;
2018-07-14;0;955.783333;null;32.7;25.716667;20;null;null;12.8;3.508333;
2018-07-15;0;955.883333;null;33.1;25.1125;17.8;null;39;10.7;2.579167;
2018-07-16;0;956.6375;null;32.9;25.570833;18.9;null;null;11.7;3.2875;
2018-07-17;0;956.733333;null;32.3;24.370833;17.2;null;33;11.6;3.083333;
2018-07-18;0;955.770833;null;33.3;25.575;19;null;35;11.1;3.208333;
2018-07-19;0;954.654167;null;33.5;26.245833;20.2;null;null;11.9;3.370833;
2018-07-20;0;954.758333;null;32.5;25.25;18.7;null;35;11.3;3.375;
2018-07-21;0;954.758333;null;32.6;25.6875;19.9;null;null;11.5;3.820833;
2018-07-22;0;954.458333;null;33.4;25.516667;17.9;null;34;12.3;2.908333;
2018-07-23;0;955.4;null;33;26.391667;20.7;null;null;12.7;4.516667;
2018-07-24;0;956.095833;null;33.6;26.1125;19.2;null;37;11.5;3.258333;
2018-07-25;0;956.7625;null;33;25.554167;19.5;null;null;13.2;3.279167;
2018-07-26;0;956.8625;null;33.2;26;20.2;null;null;12.4;3.520833;
2018-07-27;0;956.129167;null;33.8;26.4;20;null;null;13.3;3.408333;
2018-07-28;0;955.1875;null;34.6;26.970833;19.4;null;null;10.6;3.145833;
2018-07-29;0;954.829167;null;33.7;26.208333;18.8;null;null;10.7;3.125;
2018-07-30;0;954.133333;null;34.5;26.320833;17.9;null;null;11.5;2.116667;
2018-07-31;0;954.429167;null;34.5;26.7625;20.6;null;34;9.6;1.870833;
