Nome: SAO FELIX DO XINGU
Codigo Estacao: A216
Latitude: -6.639622
Longitude: -51.956966
Altitude: 211
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-14;null;null;null;null;null;null;null;null;null;null;
2016-11-15;null;null;null;null;null;null;null;null;null;null;
2016-11-16;null;null;null;null;null;null;null;null;null;null;
2016-11-17;null;null;null;null;null;null;null;57;14.2;null;
2016-11-18;null;985.508333;21.816667;30.9;25.558333;21.9;81.541667;51;6;1.6375;
2016-11-19;0;984.308333;23;33.9;26.2875;22.4;83.666667;50;10.4;1.370833;
2016-11-20;.8;984.766667;23.341667;30.3;25.983333;22.6;85.708333;65;13.1;1.970833;
2016-11-21;1.2;985.8875;23.704167;33.2;27.045833;23.9;83.458333;53;7.5;2.083333;
2016-11-22;22.4;986.016667;22.945833;32.5;26.508333;23.2;82.291667;54;8.9;1.483333;
2016-11-23;.2;985.6125;23.691667;32;26.295833;23;86.291667;60;7.9;1.420833;
2016-11-24;6.6;986.333333;23.633333;31.7;26.733333;23.6;84;61;10.8;1.2125;
2016-11-25;4.2;986.295833;23.604167;33.7;27.4875;23.5;80.708333;52;8.4;1.375;
2016-11-26;0;986.004167;23.008333;32.4;25.9875;22.3;84.333333;57;8.6;1.545833;
2016-11-27;3;986.679167;23.1375;34.1;27.020833;22;81.208333;49;4.6;.9875;
