Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-25;null;null;null;null;null;null;null;null;null;null;
2017-10-26;null;null;null;null;null;null;null;null;null;null;
2017-10-27;null;null;null;null;null;null;null;null;null;null;
2017-10-28;null;null;null;null;null;null;null;null;null;null;
2017-10-29;null;null;null;null;null;null;null;null;null;null;
2017-10-30;null;null;null;null;null;null;63;47;8;null;
2017-10-31;16;921.2625;18.3625;29.6;22.683333;18.8;78.708333;46;12.7;2.15;
2017-11-01;.8;925.379167;15.645833;24.4;20.920833;19.1;72.083333;60;9.8;3.4875;
2017-11-02;0;928.225;14.816667;27.2;21.883333;17.1;65.291667;48;7.8;2.908333;
2017-11-03;0;927.0375;14.679167;30.5;23.133333;16.9;61.291667;36;9.7;2.425;
2017-11-04;0;924.841667;15.979167;29.5;23.525;17.5;63.666667;46;9.3;2.408333;
2017-11-05;6.8;924.491667;17.891667;28;23.554167;19.6;71.875;50;8.6;2.308333;
2017-11-06;0;924.408333;17.929167;30;23.0875;19.8;74;44;20.7;2.829167;
2017-11-07;14.4;924.770833;15.6125;25.5;21.433333;17.9;69.958333;58;10.3;3.45;
2017-11-08;0;925.045833;15.5125;25.7;21.525;16.8;69.291667;54;6.7;2.033333;
2017-11-09;.4;925.291667;16.591667;23.9;20.9125;17.7;76.75;64;7;2.179167;
2017-11-10;.2;923.504167;17.5625;23.8;21.454167;19.4;78.791667;69;9.4;2.079167;
2017-11-11;14.2;920.0125;18.9625;25.3;21.029167;19.1;88.625;69;10.2;2.575;
2017-11-12;28.8;919.45;16.758333;30.2;22.920833;18.6;72.583333;36;8.2;2.033333;
2017-11-13;0;921.758333;9.345833;31;23.479167;14.8;46.041667;15;6.9;2.366667;
2017-11-14;0;923.7375;13.4;31.5;23.575;15.2;54.875;27;7.2;2.791667;
2017-11-15;0;925.583333;15.258333;30.4;24.954167;20.4;56.583333;37;6.9;1.945833;
2017-11-16;0;925.779167;14.833333;30.9;24.779167;18.7;55.958333;35;7.9;1.716667;
2017-11-17;0;923.2;14.5;32.5;25.533333;16.6;53.916667;28;7.5;1.766667;
2017-11-18;.8;922.229167;17.304167;29.6;24.058333;19.5;67.583333;41;11.4;1.9;
2017-11-19;30.4;922.116667;19.233333;29.4;22.795833;19.8;81.708333;53;10.1;1.645833;
2017-11-20;34;923.091667;19.5125;30;23.666667;19.9;79.916667;46;8;1.616667;
2017-11-21;1.4;923.916667;19.845833;25.3;22.441667;20.3;85.75;70;6.5;1.608333;
2017-11-22;23.6;922.679167;19.666667;23.6;21.233333;19.3;90.875;78;7.9;1.8375;
2017-11-23;11;924.054167;19.025;24;20.95;18.4;89.083333;73;8.9;2.620833;
2017-11-24;6.2;926.55;17.754167;27.1;21.875;17.9;78.166667;60;7.7;2.766667;
2017-11-25;.2;926.495833;17.766667;29.2;23.695833;18.4;71.041667;49;7.3;2.075;
2017-11-26;0;925.379167;17.029167;27.3;22.9625;19.7;69.916667;52;9.4;1.633333;
2017-11-27;0;925.883333;19.191667;27.9;21.545833;19.6;87.208333;58;7.3;1.3;
2017-11-28;18;925.4875;19.154167;31.1;23.9;19.2;77.25;44;9.7;1.770833;
2017-11-29;17.6;923.8125;18.145833;30.1;23.5;18.3;74.208333;47;11.3;2.275;
2017-11-30;15;921.920833;17.554167;28.6;22.654167;18.8;74.25;50;9.7;2.829167;
2017-12-01;79;922.029167;18.266667;21.9;19.025;17;95.416667;86;9.7;1.854167;
2017-12-02;58.6;922.65;18.995833;25.2;21.016667;18;88.75;66;5.3;1.579167;
2017-12-03;10;922.033333;20.495833;26.9;22.416667;19.9;89.125;68;12.3;1.979167;
2017-12-04;21.4;921.5875;20.679167;30.9;23.858333;19.4;83.791667;49;9.7;2.045833;
2017-12-05;0;923.416667;20.479167;30;24.658333;20.2;78.958333;52;7.2;1.470833;
2017-12-06;14.6;924.125;19.625;28;23.008333;20.3;81.75;61;8.3;2.05;
2017-12-07;0;922.154167;19.429167;26.3;21.675;20.1;87.5;67;10.9;1.833333;
2017-12-08;42.6;918.641667;20.558333;28.6;22.766667;20;88.083333;63;10.2;2.325;
2017-12-09;25.2;918.833333;19.691667;30.6;24.145833;19.9;78;47;8.5;1.666667;
2017-12-10;0;917.495833;18.245833;31.5;24.841667;19.2;69.75;37;6.5;1.820833;
2017-12-11;0;918.708333;19.445833;28.8;23.570833;20.4;78.291667;56;7.4;1.7;
2017-12-12;0;923.55;17.5;29.8;23.820833;19.2;70.083333;44;8.4;2.491667;
2017-12-13;0;926.908333;16.408333;27.2;22.954167;18.4;67.583333;50;7.5;2.620833;
2017-12-14;0;927.329167;17.6;27.3;23.0875;19.6;72.208333;55;7.7;2.058333;
2017-12-15;0;926.1125;17.35;28.8;23.0625;18.9;71.083333;50;6.1;1.816667;
2017-12-16;7.4;925.75;17.85;28.2;21.233333;17.8;82.333333;52;9.7;2.425;
2017-12-17;2.6;926.533333;18.4625;30;21.6375;17.3;83.583333;49;11.6;1.433333;
2017-12-18;3.8;926.979167;17.325;31.5;24.166667;16.8;69.75;38;6.2;1.65;
2017-12-19;.2;927.391667;17.070833;31.1;25.304167;19.5;62.333333;40;11.1;1.9625;
2017-12-20;0;925.666667;15.341667;31.8;25.175;16.5;56.583333;33;6.7;1.958333;
2017-12-21;0;924.3625;17.7125;31.2;24.845833;19.6;65.958333;44;11.1;1.733333;
2017-12-22;0;925.55;18.1625;27;22.733333;18.9;76.125;56;7.8;2.45;
2017-12-23;0;925.175;17.695833;32.5;24.825;18.2;68.416667;35;6.8;1.945833;
2017-12-24;0;923.45;18.120833;33.1;26.170833;19.7;63.958333;39;8.6;2.075;
2017-12-25;0;922.5;18.558333;33.8;26.670833;20.4;63;39;7.5;2.041667;
2017-12-26;37.6;924.279167;19.333333;32;24.870833;19;73.208333;46;8.1;2.404167;
2017-12-27;0;924.775;18.416667;32.9;24.533333;18.9;70.416667;42;13.6;2.470833;
2017-12-28;0;923.791667;18.620833;32.8;25.620833;19.5;68.375;38;7.6;2.1875;
2017-12-29;26.4;923.7625;18.520833;30.7;24.504167;18.1;71.208333;42;11.4;2.5;
2017-12-30;12.6;924.0625;19.979167;26.5;22.0375;19.9;88.375;61;7.1;1.516667;
2017-12-31;12.8;925.120833;19.566667;25.9;22.8875;19.7;82.25;64;13.5;2.2625;
2018-01-01;1.4;923.966667;19.370833;29.9;24.420833;20;75.541667;49;10.2;2.033333;
2018-01-02;8;922;19.5625;29.9;23.658333;19.8;79.458333;52;9.6;2.229167;
2018-01-03;11.8;921.45;19.508333;30.1;23.3875;19.7;80.375;51;13;2.133333;
2018-01-04;4.4;923.695833;20.183333;25.2;21.533333;20.2;92.208333;76;11;1.854167;
2018-01-05;55.2;926.183333;19.470833;24.6;20.733333;19.6;92.75;75;9.3;null;
2018-01-06;13;925.883333;18.875;30;22.683333;19;80.833333;51;null;null;
2018-01-07;37.2;925.154167;19.179167;28.5;22.604167;19.1;82.333333;55;null;null;
2018-01-08;38;926.720833;18.6375;28.8;22.270833;18.6;81.708333;51;null;null;
2018-01-09;0;928.5625;16.4375;29.6;23.3875;16.9;68.208333;37;null;null;
2018-01-10;0;929.116667;17.725;30.6;24.783333;18.9;66.458333;45;null;null;
2018-01-11;0;928.154167;16.433333;29.1;24.070833;18;64.458333;40;null;null;
2018-01-12;0;925.9;17.108333;30.7;23.0125;17.6;71.541667;39;null;null;
2018-01-13;0;924.429167;17.566667;30.8;24.4875;18.2;67.875;39;null;null;
2018-01-14;5.8;926.204167;18.779167;27.7;21.3625;18.4;85.916667;56;null;null;
2018-01-15;8.6;926.833333;19.120833;29.2;22.433333;18.5;82.875;57;null;null;
2018-01-16;.4;927.533333;19.0125;30.4;24.058333;18.9;75.416667;47;null;null;
2018-01-17;0;926.816667;18.3125;32.4;25.604167;19.4;67.375;41;null;null;
2018-01-18;0;927.1375;15.075;31.7;25.5875;17.4;55.416667;25;null;null;
2018-01-19;0;926.708333;15.4625;32.7;25.141667;16.3;59.833333;28;null;null;
2018-01-20;0;925.879167;14.720833;33.4;25.804167;18.1;55.75;21;null;null;
2018-01-21;0;925.075;14.525;33.4;25.329167;16.5;56.458333;26;null;null;
2018-01-22;0;923.629167;16.520833;33.2;25.9375;18.4;58.75;33;null;null;
2018-01-23;0;924.3125;17.1875;32.5;25.008333;19.4;63.5;39;null;null;
2018-01-24;8.8;924.354167;19.233333;31.1;24.35;19.7;75.708333;46;null;null;
2018-01-25;50.4;923.183333;19.3125;31;24.283333;19.5;76.458333;46;null;null;
2018-01-26;0;923.095833;17.208333;31.4;24.195833;17.6;69.166667;35;null;null;
2018-01-27;4.4;923.120833;18.425;31;24.533333;20;71.5;42;null;null;
2018-01-28;0;922.766667;18.204167;31.8;25.4;19.6;67;39;null;null;
2018-01-29;0;921.475;19.9625;30.6;24.4625;21.5;77.375;53;11.9;null;
2018-01-30;37.4;920.683333;20.508333;29.4;22.533333;19.3;89.208333;59;15.4;1.416667;
2018-01-31;61.2;920.591667;20.979167;28.1;23.208333;19.8;87.916667;66;8.3;2.045833;
2018-02-01;3.6;921.7375;18.420833;29.5;22.9375;18.6;76.5;52;9.2;2.429167;
2018-02-02;0;920.904167;19.5625;24.2;21.533333;20;88.666667;77;6.4;1.6125;
2018-02-03;16.2;919.745833;18.8;29.2;22.766667;19.4;80.291667;50;9.5;2.545833;
2018-02-04;0;922.166667;18.0875;24.3;21.245833;19.9;82.5;64;9.2;2.466667;
2018-02-05;9.6;921.608333;17.741667;20.8;18.9875;17.8;92.416667;87;10;2.908333;
2018-02-06;17;921.170833;19.079167;25.3;20.504167;17.7;91.75;72;8.7;1.804167;
2018-02-07;13;922.4375;18.166667;29.4;22.5625;18.4;79.083333;44;6.5;1.495833;
2018-02-08;0;923.620833;17.9;30.8;24.008333;16.8;71.291667;44;5.4;1.404167;
2018-02-09;.4;925.0125;18.720833;31.3;24.3375;17.8;72.916667;46;5.8;1.8875;
2018-02-10;0;925.879167;20.1;30.1;24.066667;21.9;79.708333;51;10.3;1.958333;
2018-02-11;2.4;925.6375;19.104167;31.4;24.3875;18.6;75.25;45;6.2;1.375;
2018-02-12;0;925.095833;16.966667;30.9;25.570833;20.1;60.375;43;6.4;1.495833;
2018-02-13;0;925.825;18.129167;31.4;25.3125;18.9;67.375;40;7.1;1.6;
2018-02-14;0;927.475;17.7875;31.2;25.541667;19;64.375;42;7.5;2.3125;
2018-02-15;0;928.670833;17.091667;30.6;25.0375;18.1;62.916667;41;8;2.058333;
2018-02-16;0;929.154167;17.375;28.2;23.695833;18.2;69;48;7.6;2.395833;
2018-02-17;0;927.0125;17.016667;30.6;24.416667;17.6;65.375;41;7;2.129167;
2018-02-18;0;924.745833;17.420833;30.9;24.4625;17.9;66.875;42;7.6;1.645833;
2018-02-19;.2;923.520833;19.304167;28.4;23.066667;19.5;80.041667;54;9.8;2.054167;
2018-02-20;34.2;923.308333;19.920833;29.5;23.195833;19.5;83.166667;53;7.1;1.891667;
2018-02-21;.8;922.625;20.345833;29.4;23.670833;20.6;82.625;57;9.8;1.658333;
2018-02-22;.4;922.820833;19.804167;28.2;22.870833;20.5;84;57;14.2;1.879167;
2018-02-23;.2;924.25;19.525;27.4;22.783333;19.9;82.666667;62;10;1.7;
2018-02-24;.2;925.404167;19.429167;28.6;22.370833;19.1;84.666667;57;10.1;2.6375;
2018-02-25;37;926.058333;19.533333;28;21.679167;19.5;88.583333;58;6.1;1.920833;
2018-02-26;14.6;926.0125;19.616667;28.1;23;19.6;82.291667;60;8;2.183333;
2018-02-27;.6;925.516667;19.65;29.8;23.779167;19;79.291667;53;9;2.091667;
2018-02-28;0;924.7;19.483333;31;23.341667;19.2;80.708333;51;11.4;2.154167;
2018-03-01;2.2;926.291667;19.6875;30.6;24.516667;19.5;76.666667;52;5.4;1.483333;
2018-03-02;14.6;926.0625;20.866667;31;23.483333;20.1;86.166667;56;16.6;1.554167;
2018-03-03;33;924.245833;20.229167;31;23.7625;18.8;81.958333;56;9;1.904167;
2018-03-04;0;922.0875;20.595833;31.3;24.441667;21.1;80.291667;52;9.1;1.454167;
2018-03-05;.4;921.729167;19.829167;30.8;24.195833;19.8;78.375;50;12.7;1.741667;
2018-03-06;.2;921.979167;20.1625;31.8;25.120833;19.3;76.041667;50;5.7;1.291667;
2018-03-07;0;922.395833;20.745833;31.2;25.3375;20.8;77.25;50;5.8;1.6375;
2018-03-08;0;922.533333;20.641667;29.6;24.079167;20.5;81.708333;59;7.8;1.420833;
2018-03-09;.2;923.566667;20.716667;27.6;22.904167;20.8;88.041667;67;10.2;2.0375;
2018-03-10;0;923.216667;20.358333;29.9;23.7375;20.3;82.875;53;7;1.808333;
2018-03-11;.2;921.595833;20.879167;29.5;23.45;20.7;86.291667;60;7.9;1.454167;
2018-03-12;.2;921.429167;19.758333;31.4;24.620833;19.9;77.458333;39;5.8;1.025;
2018-03-13;0;922.9875;19.470833;32.6;25.666667;18.9;71.708333;41;5.6;1.4375;
2018-03-14;.2;925.245833;20.408333;31.7;25.2375;21.1;76;49;10.9;2.266667;
2018-03-15;0;925.933333;20.175;31.5;25.204167;21.2;75.5;49;8.1;2.358333;
2018-03-16;0;925.395833;20.183333;32.7;24.491667;20;79.083333;48;9.6;2.079167;
2018-03-17;0;924.7375;19.654167;31.1;24.254167;19.8;77.416667;47;7.9;1.725;
2018-03-18;0;923.745833;19.1;30.2;23.525;18.6;78.583333;49;9.1;1.720833;
2018-03-19;null;923.445833;18.9625;30.9;24.558333;18;73.5;47;5.9;1.191667;
2018-03-20;0;923.983333;19.575;29.8;24.9875;20.9;73.375;53;8.3;1.945833;
2018-03-21;6.2;924.683333;19.8875;25.9;22.570833;21.1;85.125;64;5.8;1.4125;
2018-03-22;3.2;924.533333;18.691667;29.4;23.270833;19.1;76.916667;52;7.2;1.925;
2018-03-23;2;925.283333;18.920833;29.9;23.841667;19.3;75.75;50;5.9;1.9;
2018-03-24;0;926.7625;16.966667;28.9;24.120833;19.8;65.625;45;8.9;2.416667;
2018-03-25;0;926.9;17.008333;29.7;22.8375;15.9;71.791667;47;5.3;1.695833;
2018-03-26;0;927.1375;16.966667;29.9;24.0875;18;66.208333;45;7.2;1.75;
2018-03-27;0;927.904167;15.520833;30.1;23.708333;16.3;62.708333;38;5.3;1.791667;
2018-03-28;0;927.683333;15.9375;29.8;23.1625;15.8;65.791667;40;8;1.9375;
2018-03-29;0;927.0375;16.833333;28.8;23.141667;17.6;69.666667;45;7.3;2.216667;
2018-03-30;0;926.133333;16.591667;28.6;22.7875;16.1;70;46;6.4;2.079167;
2018-03-31;0;925.520833;16.55;29.3;22.408333;15.3;72.041667;42;8.4;1.470833;
2018-04-01;0;924.408333;16.925;30.1;23.1;15.8;71.041667;44;5.9;1.4125;
2018-04-02;0;923.866667;18.829167;28.6;23.708333;19.3;75.458333;55;7.5;1.833333;
2018-04-03;0;922.225;19.6625;31.2;23.616667;20.2;79.916667;50;9.5;1.595833;
2018-04-04;.6;922.366667;19.870833;28.9;23.425;20.3;81.833333;55;6.6;1.429167;
2018-04-05;0;922.495833;19.2875;29.6;23.779167;18.7;77.708333;51;5;1.6;
2018-04-06;0;923.85;18.316667;28.7;22.7375;19.4;77.083333;52;11;1.983333;
2018-04-07;2.2;925.583333;17.8625;29.1;22.4875;17.1;77.416667;48;7.1;1.995833;
2018-04-08;.2;926.754167;17.745833;29.7;23.2;18.3;73.666667;46;6.8;2.1125;
2018-04-09;0;927.504167;17.120833;29.1;22.8125;16.4;72.416667;47;7;2.025;
2018-04-10;0;928.145833;16.266667;28.4;22.366667;17;70.75;40;6.2;2.208333;
2018-04-11;0;928.4;15.008333;28.7;21.925;15.1;67.666667;38;7.3;2.475;
2018-04-12;0;929.058333;15.3125;26.7;21.579167;17.1;68.458333;50;8.9;2.5625;
2018-04-13;0;929.545833;16.725;28.1;21.8;15.5;75.083333;50;6.2;1.7375;
2018-04-14;0;930.220833;16.85;29.1;22.7375;16.3;71.875;44;6.5;2.458333;
2018-04-15;0;930.570833;16.958333;27.1;22.479167;18;72.208333;50;7.9;2.341667;
2018-04-16;0;930.033333;16.825;26.1;20.966667;17.6;78.708333;57;10;3.5625;
2018-04-17;0;931.2125;13.783333;25.1;20.4625;16.6;66.708333;49;10.9;3.6125;
2018-04-18;0;932.475;13.245833;26.5;19.7625;13.1;68.291667;43;8.9;2.425;
2018-04-19;0;931.591667;13.870833;26.3;20.475;13.8;67.583333;44;5.6;1.704167;
2018-04-20;0;929.229167;14.008333;28.1;20.325;13;70.75;39;5.3;1.566667;
2018-04-21;0;927.129167;14.991667;25.7;19.983333;14.7;74.416667;53;5.2;1.925;
2018-04-22;0;927.629167;14.558333;25.9;20.333333;15.3;71.875;45;7.4;2.095833;
2018-04-23;0;928.8875;13.891667;27;20.270833;12.5;69.583333;42;6.4;1.804167;
2018-04-24;0;929.683333;14.833333;28;20.395833;13.3;73.166667;45;6.4;2.0125;
2018-04-25;0;929.975;15.375;28.3;21.25;14.5;71.75;46;6.3;1.954167;
2018-04-26;0;928.966667;15.833333;28.7;21.375;14.2;73.291667;43;5.4;1.891667;
2018-04-27;0;928.854167;15.916667;28.6;21.645833;15.1;72.583333;42;7.3;2.025;
2018-04-28;0;929.591667;15.616667;28.3;21.579167;15.1;71.541667;44;6.8;2.058333;
2018-04-29;0;929.2875;13.875;27.6;20.125;13.7;70.541667;38;6.6;2.175;
2018-04-30;0;929.154167;13.429167;28.1;20.1375;12.1;68.916667;37;5.1;1.5375;
2018-05-01;0;929.45;12.108333;28.9;20.158333;12.6;65.291667;30;5.9;1.516667;
2018-05-02;0;929.883333;11.045833;28.6;20.004167;12.3;62.333333;23;7.1;2.1375;
2018-05-03;0;929.458333;11.808333;28.7;20.145833;10.9;62.708333;34;6.9;2.095833;
2018-05-04;0;929.129167;13.891667;29.3;20.645833;12.8;68.916667;38;5.4;1.729167;
2018-05-05;0;929.7;14.933333;29.1;21.408333;13.7;69.958333;40;5.2;1.604167;
2018-05-06;0;929.966667;15.404167;29.6;21.479167;15;71.333333;36;8.3;1.9125;
2018-05-07;0;930.370833;13.925;26.9;20.45;13.9;68.583333;39;7.4;2.625;
2018-05-08;0;929.775;13.920833;27.2;19.5625;13.1;72.208333;44;6.3;2.479167;
2018-05-09;0;930.358333;13.670833;25.8;19.1;13.7;72.75;46;9.6;2.891667;
2018-05-10;0;929.6125;12.616667;27;18.783333;11.7;70.791667;40;6.9;1.833333;
2018-05-11;0;928.908333;13.308333;28.2;19.908333;11.9;69;39;5.8;1.520833;
2018-05-12;0;926.754167;13.841667;28.8;20.858333;12.2;68.208333;35;6.8;1.216667;
2018-05-13;0;926.741667;14.325;29.5;21.195833;14.1;68.291667;38;5.5;1.433333;
2018-05-14;0;928.116667;16.425;27.9;21.15;16.4;75.875;48;7.7;2.5125;
2018-05-15;0;928.504167;15.225;27.9;21.133333;15.5;71.541667;44;7.9;2.491667;
2018-05-16;0;927.358333;14.995833;28;20.3;13.8;73.916667;47;6.1;1.595833;
2018-05-17;0;927.195833;15.858333;27.9;19.241667;14.7;82.666667;46;14.9;2.125;
2018-05-18;18.8;927.108333;16.229167;27.2;20.108333;14.3;80.75;50;5.6;1.616667;
2018-05-19;0;925.1375;16.616667;22.5;18.433333;15.2;89.458333;71;10.7;1.7125;
2018-05-20;4.6;924.85;10.954167;20.9;16.879167;14.3;71.5;34;9.1;2.4125;
2018-05-21;0;927.45;5.645833;24.4;13.5625;4.8;66.708333;21;5.1;1.5625;
2018-05-22;0;928.804167;6.808333;26.2;15.170833;6;64.375;24;7.2;1.829167;
2018-05-23;0;930.058333;8.029167;26.6;16.5125;7.2;63.375;27;4.8;2.054167;
2018-05-24;0;931.875;11.895833;26.8;17.7875;10.3;71.291667;40;5.8;2.2;
2018-05-25;0;931.383333;12.954167;25.8;18.704167;11.9;72.291667;39;6.7;1.983333;
2018-05-26;0;930.983333;13.0875;25.9;17.991667;10.5;75.583333;43;6.6;2.245833;
2018-05-27;0;932.158333;12.441667;25.4;18.15;10.8;72.25;43;6.5;2.2125;
2018-05-28;0;932.816667;11;25.4;17.916667;10.5;67.458333;33;9.4;2.545833;
2018-05-29;0;932.804167;11.258333;24.4;17.3;10.9;70.208333;43;9.2;2.425;
2018-05-30;0;931.475;10.383333;24.2;17.145833;11.6;67.833333;36;6.2;2.1625;
2018-05-31;0;928.691667;10.104167;24.5;16.883333;10;68.041667;36;6.5;1.808333;
2018-06-01;0;928.054167;11.291667;25.3;18.9125;12.1;64;38;8;1.595833;
2018-06-02;0;929.320833;11.4875;27.4;17.8375;9.4;70.833333;36;5;1.545833;
2018-06-03;0;930.479167;12.733333;29;19.741667;12.2;68.25;36;5.5;1.845833;
2018-06-04;0;931.366667;14.383333;26.2;19.875;15.2;72.041667;50;9.2;3.1375;
2018-06-05;0;928.454167;13.491667;25.9;18.691667;12.2;73.833333;50;7;1.504167;
2018-06-06;3.8;925.870833;15.7375;26.2;20;14.9;78.666667;49;8.4;2.004167;
2018-06-07;0;927.4375;15.945833;25.9;19.241667;14;82.083333;57;10.3;1.379167;
2018-06-08;5.6;929.133333;15.883333;24.8;19.0125;14.2;83.625;58;6.3;1.425;
2018-06-09;.2;930.266667;15.979167;26.8;19.5;13;81.916667;57;4.7;1.8875;
2018-06-10;0;929.991667;16.045833;27.3;19.95;13.4;80.166667;51;5.8;1.6;
2018-06-11;0;929.3;15.241667;26.4;19.704167;13.3;77.333333;50;6.4;1.620833;
2018-06-12;0;928.783333;14.783333;27.7;20.091667;12.3;74.625;44;9.7;1.441667;
2018-06-13;0;928.929167;14.720833;29.9;20.904167;13.4;71.708333;38;5.1;1.5;
2018-06-14;0;929.591667;15.608333;29.4;21.2875;14.8;72.625;42;8.5;1.779167;
2018-06-15;0;931.279167;15.754167;27.1;21.3625;16;72.541667;45;8.5;1.975;
2018-06-16;0;932.204167;14.766667;27;20.395833;13.8;72.416667;44;6.2;2.179167;
