Nome: BRUMADO
Codigo Estacao: A433
Latitude: -14.18194443
Longitude: -41.67222221
Altitude: 473.37
Situacao: Operante
Data Inicial: 2008-04-27
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-27;null;null;null;null;null;null;null;null;null;null;
2008-04-28;null;null;null;null;null;null;null;35;8.3;null;
2008-04-29;null;958.670833;19.575;31.3;24.720833;20.7;75.208333;44;5.8;1.05;
2008-04-30;0;958.2625;17.845833;32;23.95;18.6;71.708333;36;6.7;1.145833;
2008-05-01;0;959.013043;17.365217;31.8;24.526087;18.7;67.304348;33;8.2;1.152174;
2008-05-02;.6;960.025;17.879167;28.8;23.604167;17.5;71.75;49;7.3;1.4875;
2008-05-03;0;959.916667;19.508333;29.6;23.433333;20.7;79.791667;52;5.7;.958333;
2008-05-04;0;959.816667;18.720833;31.1;23.55;17.8;77.041667;45;5.8;1.245833;
2008-05-05;0;959.983333;17.570833;32.7;23.575;17.9;72.375;35;7.2;.979167;
2008-05-06;0;958.191667;16.9375;34;24.429167;17.5;66.833333;31;7.2;1.0125;
2008-05-07;0;958.25;18.395833;33.7;25.325;18.9;68.708333;35;5.6;1.033333;
2008-05-08;.2;959.1125;18.6375;32.3;24.9875;21.6;70.416667;33;5.3;1.025;
2008-05-09;0;959.495833;17.679167;30.4;23.9375;21.1;69.541667;40;7.6;1.233333;
2008-05-10;0;961.3125;16.479167;29.6;23.354167;17.9;67.875;36;6.2;1.004167;
2008-05-11;0;962.9625;14.366667;30;24.220833;20.1;56.041667;32;7.9;1.408333;
2008-05-12;0;963.983333;14.020833;30.1;23.229167;16.1;58.75;33;7.4;1.583333;
2008-05-13;0;964.004167;14.2125;28;22.845833;16.5;59.291667;41;6.6;1.266667;
2008-05-14;0;962.9125;14.966667;30.3;22.620833;17.8;64.291667;33;6.8;1.133333;
2008-05-15;0;963.225;16.4125;30;23.270833;18.5;67.083333;41;6.8;1.345833;
2008-05-16;0;962.7125;17.4;30.4;23.1625;17.5;72.5;40;6.3;.9625;
2008-05-17;0;963.291667;16.725;30.9;24.0375;18.2;66.291667;36;6.6;1.2;
2008-05-18;0;963.983333;16.070833;28.6;23.1875;19.8;65.708333;42;6.7;1.2875;
2008-05-19;0;962.470833;14.445833;31;22.204167;16.5;65;32;10.5;.866667;
2008-05-20;0;961.679167;13.866667;31.2;22.154167;15.7;64.208333;28;7.5;1.429167;
2008-05-21;0;961.1125;14.108333;29.1;20.583333;14.8;68.75;34;5.4;.858333;
2008-05-22;0;961.691667;13.120833;30.2;21.054167;13.8;64.416667;31;10.4;.929167;
2008-05-23;0;960.729167;14.1375;32;23.3;16.5;59.958333;28;7.6;1.341667;
2008-05-24;0;960.445833;14.770833;31;23.070833;17.2;62.416667;30;6.3;1.066667;
2008-05-25;0;959.329167;15.1375;31.4;23.8125;16.6;61.708333;33;7.9;1.308333;
2008-05-26;0;959.995833;16.666667;31.7;24.075;19;65.416667;38;7.9;.991667;
2008-05-27;0;960.795833;16.179167;32.9;24.979167;18.7;61.791667;32;7.1;1.633333;
2008-05-28;0;961.720833;15.441667;30;22.775;16;65.416667;38;7.5;1.491667;
2008-05-29;0;961.6375;15.070833;29.5;22.404167;15;65.458333;40;9.4;1.620833;
2008-05-30;0;962.545833;16.408333;31.1;24.233333;17.6;64.333333;33;10.3;1.483333;
2008-05-31;0;963.625;14.5625;32.2;23.745833;17.3;61.666667;26;8.9;1.6125;
2008-06-01;0;964.395652;14.982609;29.3;22.86087;16.9;63;35;7;1.473913;
2008-06-02;0;963.916667;15.05;30.8;23.2875;16.8;62.875;31;9.9;2.075;
2008-06-03;2;963.5875;17.9;27.2;21.933333;18.9;79.125;52;7.1;1.5625;
2008-06-04;0;963.921739;16.547826;27.4;22.117391;18.6;72.130435;47;6.5;1.4;
2008-06-05;0;964.025;15.354167;31.1;21.670833;14.8;70.625;35;7.1;.883333;
2008-06-06;0;964.609091;15.809091;29;22.445455;16.6;68.454545;42;9.4;1.677273;
2008-06-07;0;963.883333;15.558333;30.9;23.691667;17.3;63.875;35;9.6;1.583333;
2008-06-08;0;963.7875;16.554167;29.5;23.066667;18.2;68.75;41;8.9;1.654167;
2008-06-09;0;963.583333;14.716667;30.8;23.616667;18.4;62.291667;26;10.5;1.804167;
2008-06-10;.2;963.425;13.066667;29.1;21.1;13.6;64.708333;30;8.3;1.354167;
2008-06-11;0;962.658333;11.554167;30.8;21.816667;14.6;59.208333;21;7.2;1.575;
2008-06-12;0;963.720833;16.15;28.4;21.879167;16.6;71.291667;42;8.6;1.504167;
2008-06-13;0;963.195833;13.25;30.3;22.954167;16.5;60.416667;23;7.8;1.054167;
2008-06-14;.8;961.8625;15.8625;29.7;22.458333;18.6;68.666667;37;10.2;1.2625;
2008-06-15;0;962.795833;12.758333;29.4;21.5125;15.2;62.5;29;7.7;1.275;
2008-06-16;0;962.608333;10.725;31.9;20.5875;10.7;59.208333;25;6.8;.783333;
2008-06-17;0;963.804167;14.479167;28.6;21.5;15.6;65.25;43;8.8;1.808333;
2008-06-18;0;963.616667;16.320833;24.6;21.525;18.9;72.958333;56;6.9;1.725;
2008-06-19;.2;963.1375;14.958333;28.4;21.108333;16.5;70.083333;41;8.7;1.1125;
2008-06-20;0;962.5125;14.041667;28.9;20.879167;14.4;68.75;33;8.2;1.345833;
2008-06-21;0;961.508333;14.8125;29.6;21.25;14.2;70.208333;38;7.9;1.3;
2008-06-22;0;961.241667;12.516667;30.5;21.579167;14.9;63.416667;21;8.1;1.408333;
2008-06-23;0;962.883333;14.1875;30.2;23.108333;15.2;60.833333;34;7.1;1.429167;
2008-06-24;0;964.554167;14.8625;29.8;23.591667;18;60.208333;36;8.1;1.354167;
2008-06-25;.2;964.129167;15.775;27.7;22.1875;17.9;68.125;46;6.6;1.1;
2008-06-26;0;964.254167;14.591667;26.6;22.370833;17.3;63.375;42;9.5;1.9375;
2008-06-27;0;966.241667;14.475;25.5;21.9;19.7;63.333333;48;8.9;2.695833;
2008-06-28;0;967.179167;14.504167;28.2;21.975;17.5;64;41;7.6;1.633333;
2008-06-29;.4;966.408333;14.2;28.7;21.866667;17.4;66.333333;32;8.2;1.245833;
2008-06-30;0;965.383333;14.75;28.9;22.475;16;63.833333;38;9;1.633333;
2008-07-01;4.8;965.520833;17.0125;28.1;21.870833;17.9;75.916667;47;7;1.529167;
2008-07-02;.2;966.141667;14.833333;28.9;21.75;15.7;67.791667;37;9.8;1.6125;
2008-07-03;0;964.9875;14.783333;28.3;21.095833;15.2;69.208333;37;9.9;1.35;
2008-07-04;0;963.454167;14.720833;29.2;22.029167;15.4;66.416667;35;7.1;1.3625;
2008-07-05;0;964.045833;15.075;28.6;22.154167;15.8;67.291667;39;9.1;1.5875;
2008-07-06;0;965.808333;13.5875;29.6;23.35;19.4;56.5;33;8.8;1.883333;
2008-07-07;0;966.525;13.154167;26;20.141667;16;65.541667;39;5.7;1.079167;
2008-07-08;0;965.633333;10.4;27;18.033333;11.8;64.916667;31;8.8;1.054167;
2008-07-09;0;964.945833;10.245833;28;19.333333;10.2;59.125;31;8.8;1.616667;
2008-07-10;0;966.325;14.708333;26;19.870833;12.9;74.25;47;7.6;1.545833;
2008-07-11;3.4;967.441667;14.945833;27.4;20.866667;16.6;71.791667;37;9;1.4875;
2008-07-12;0;966.904167;12.316667;27.6;19.9875;12.8;65.458333;32;11.2;1.570833;
2008-07-13;0;965.208333;9.683333;29.3;18.816667;9.1;60.958333;27;10.4;1.466667;
2008-07-14;0;965.241667;13.495833;26.9;20.070833;15.5;66.875;44;14.1;1.65;
2008-07-15;0;966.8625;12.366667;27.1;19.958333;12.1;65.166667;35;12.7;1.675;
2008-07-16;0;967.2125;12.991667;26.7;20.466667;13.7;64.208333;41;10.1;2.0625;
2008-07-17;0;965.304167;11.691667;27.8;19.804167;10.7;64.625;31;8.8;1.7;
2008-07-18;0;963.966667;11.554167;30.7;20.745833;12;60.583333;22;6.9;1.183333;
2008-07-19;0;964.008333;12.95;30.7;22.591667;15.5;59.041667;28;7.3;1.375;
2008-07-20;0;964.85;12.108333;28.7;22.075;16.4;57.208333;26;9.6;1.941667;
2008-07-21;0;965.625;10.545833;28.3;19.525;9.9;59.208333;33;9.2;1.975;
2008-07-22;0;965.45;12.445833;28.6;20.933333;12.2;60.875;34;10.1;1.8625;
2008-07-23;0;964.258333;13.033333;28.7;21.754167;15.2;61.083333;30;9.8;1.8125;
2008-07-24;0;963.1;12.020833;29.5;21.533333;14.8;59.833333;26;8.9;1.5375;
2008-07-25;0;963.4125;10.608333;29.9;21.004167;13.4;55.75;22;8.3;1.391667;
2008-07-26;0;963.9625;10.391667;31;22.370833;13.8;51.833333;21;8.7;1.754167;
2008-07-27;0;966.683333;13.604167;28.1;21.825;15.5;60.833333;39;10.5;1.954167;
2008-07-28;0;966.658333;13.183333;28.2;22.2625;18.6;59.291667;31;9;1.925;
2008-07-29;0;965.316667;11.404167;28.5;21.2875;14.7;56.166667;30;9.1;1.716667;
2008-07-30;0;963.770833;12.6125;29.1;21.583333;13.5;59.666667;30;9.2;1.804167;
2008-07-31;0;963.116667;11.7875;30.3;22.15;13.7;56.875;23;8.9;1.870833;
2008-08-01;0;963.2;13.125;28.3;21.929167;17.2;59.208333;36;8.4;1.841667;
2008-08-02;0;961.925;11.829167;30.1;21.4;13.4;57.291667;32;9;1.345833;
2008-08-03;0;960.2375;12.620833;33.9;23.866667;15.1;56.375;19;7.3;1.170833;
2008-08-04;0;959.616667;12.8;35.3;25.533333;16;51.958333;18;9.1;1.35;
2008-08-05;0;962.675;15.245833;31.5;25.85;20.9;54.916667;28;9.4;2.275;
2008-08-06;0;963.083333;13.2125;30.1;23.304167;16.5;56.5;29;11.4;2.308333;
2008-08-07;0;963.283333;14.258333;27.8;20.945833;14.4;67.541667;43;7.8;1.579167;
2008-08-08;0;962.595833;14.125;30.2;23.158333;18.6;60.458333;30;8.4;1.579167;
2008-08-09;0;963.616667;12.941667;30.4;23.108333;15.5;57.458333;26;8.2;1.8125;
2008-08-10;0;963.370833;11.858333;30.1;22.6625;14.4;54.5;26;9;1.8125;
2008-08-11;0;963.679167;11.070833;30.3;22.5875;15.1;52.083333;26;11.7;1.9125;
2008-08-12;0;963.8125;12.6;29.5;22.9125;16.4;54.666667;32;10.5;2.070833;
2008-08-13;0;964.720833;12.916667;29.4;22.220833;14.9;58.291667;33;9.1;2.083333;
2008-08-14;0;965.379167;13.170833;29.7;21.770833;13.6;61.583333;29;9.8;1.7;
2008-08-15;0;965.391667;12.791667;30.2;22.466667;14.4;57.833333;31;11.7;2.2875;
2008-08-16;0;964.308333;14.658333;30.1;22.975;18.1;61.333333;34;11.5;2.291667;
2008-08-17;0;963.858333;11.179167;30;22.466667;16.4;52.833333;24;8.8;1.679167;
2008-08-18;0;964.3125;11.629167;29.4;22.841667;18.8;52.875;23;11.6;2.641667;
2008-08-19;0;964.108333;14.708333;27;20.491667;15.9;70.583333;45;10.5;1.8375;
2008-08-20;.6;963.179167;12.783333;29.7;21.583333;14.3;63.041667;29;11.8;2.020833;
2008-08-21;0;963.366667;13.808333;28.3;22.558333;19.1;59.416667;36;9.2;1.883333;
2008-08-22;0;962.745833;12.7625;30.4;22.6375;14.7;57.916667;29;8.6;1.533333;
2008-08-23;0;963.575;13.558333;30.3;23.541667;17;56.291667;32;10.2;2.2;
2008-08-24;0;964.608333;12.216667;29.5;22.958333;15.8;53.5;28;10.5;2.1375;
2008-08-25;0;964.420833;12.783333;28.9;22.641667;18.9;55.25;35;10.4;2.379167;
2008-08-26;0;962.991667;13.145833;29.4;22.675;16.6;57.666667;32;8.7;1.516667;
2008-08-27;0;961.070833;11.35;31.3;23.383333;15.1;52.958333;19;8.8;1.954167;
2008-08-28;0;960.558333;9.7875;31.9;23.458333;15.9;46.375;19;8.6;1.445833;
2008-08-29;0;960.783333;11.316667;33.1;24.75;16.1;48.833333;19;7.7;1.6125;
2008-08-30;0;959.708333;10.441667;32.8;25.2125;15.5;43.916667;20;9.7;2.004167;
2008-08-31;0;961.620833;10.754167;31.8;23.729167;15.2;46.666667;25;11.5;2.1625;
2008-09-01;0;963.008333;12.508333;30.1;24.045833;20.4;50;31;10;2.520833;
2008-09-02;0;962.975;13.404167;29.5;22.5875;17.2;57.833333;35;9;1.833333;
2008-09-03;0;962.458333;15.045833;30;23.691667;18.6;60.875;33;9.4;2.233333;
2008-09-04;0;961.725;12.191667;32.3;24.35;16.9;50.833333;24;8.3;1.8625;
2008-09-05;0;961.245833;13.008333;32;24.933333;18.3;52.333333;24;11.5;2.366667;
2008-09-06;0;962.258333;10.495833;34.2;24.820833;15.2;46.458333;18;7.5;1.575;
2008-09-07;0;963.345833;13.133333;35.4;26.170833;17.6;50.291667;17;9.1;1.929167;
2008-09-08;0;963.879167;13.545833;32.3;25.675;19.4;50.291667;26;10.9;2.7;
2008-09-09;0;964.7625;13.5125;31.6;24.2;18;54.583333;28;9.2;2.2125;
2008-09-10;0;965.820833;11.55;31.3;23.754167;16.9;48.875;26;10.2;2.670833;
2008-09-11;0;964.920833;12.6625;30.7;23.370833;15.7;53.75;30;10.8;2.3375;
2008-09-12;0;963.433333;13.229167;31.6;23.808333;16;55.291667;29;8.7;1.925;
2008-09-13;0;962.016667;12.5125;32.7;24.445833;16.3;52.708333;21;8.9;1.625;
2008-09-14;0;961.620833;12.9375;33.9;25.745833;18.7;49.791667;21;10.2;2.029167;
2008-09-15;0;962.433333;14.916667;32.6;25.345833;16.7;56.541667;28;11.7;2.208333;
2008-09-16;0;962.595833;13.583333;33.4;25.4625;17.7;52.166667;24;12.1;2.216667;
2008-09-17;0;961.7625;14.054167;32.3;25.245833;18.7;53.625;27;10.4;2.279167;
2008-09-18;0;961.454167;14.358333;31;24.691667;19.7;55.083333;31;10.4;2.308333;
2008-09-19;0;963.391667;15.304167;30.8;25.041667;21.8;56.208333;34;9.9;2.804167;
2008-09-20;0;964.5375;14.904167;27.1;23.2875;19.3;60.083333;46;9.6;2.9375;
2008-09-21;0;962.754167;14.45;32.3;24.579167;18.4;56.375;29;10;1.895833;
2008-09-22;0;960.1125;15.095833;34.7;26.3875;18.6;54.125;29;9.6;1.6625;
2008-09-23;0;957.7375;15.6375;35.3;26.966667;20.5;53;29;11.6;1.9125;
2008-09-24;8.8;960.433333;19.6;26.5;23.391667;20;79.958333;60;7.2;1.279167;
2008-09-25;.2;963.370833;17.508333;27.1;23.479167;20.8;70.041667;52;7.7;2.191667;
2008-09-26;0;963.054167;15.683333;29.7;23.729167;20.4;62;41;12.3;2.8625;
2008-09-27;1.4;961.9375;17.975;23.9;20.4625;19.2;85.958333;61;8.7;.85;
2008-09-28;8.6;960.0125;17.358333;32.5;24.508333;18.9;68.541667;32;6.6;1.304167;
2008-09-29;0;960.375;16.720833;35.6;26.775;19.7;58.416667;26;11.6;1.8;
2008-09-30;0;962.741667;16.758333;32.1;26.395833;22.5;57.041667;36;12.6;2.491667;
2008-10-01;0;960.2625;14.941667;34.7;26.466667;19.5;55;22;10.3;2.0875;
2008-10-02;0;958.779167;14.441667;36.1;27.633333;19.9;49.583333;21;10;2.495833;
2008-10-03;0;959.470833;14.870833;35.1;27.141667;19.4;50.958333;22;10.8;2.4375;
2008-10-04;0;960.783333;15.025;33.7;26.583333;20.1;52.625;26;12.3;2.425;
2008-10-05;0;960.175;14.258333;34;26.375;19;51.541667;25;10.1;2.466667;
2008-10-06;0;960.8875;13.5625;35.9;27.233333;18.8;49.5;12;10.3;2.041667;
2008-10-07;0;963.8625;14.1625;33.3;26.108333;20.3;51.125;25;12.3;3.1;
2008-10-08;0;963.591667;14.533333;30.4;24.5;16.7;56.416667;33;9.2;2.445833;
2008-10-09;0;963.675;13.316667;32.3;24.5625;16.9;52.583333;26;9.9;2.4625;
2008-10-10;1.8;963.6;16.154167;27.5;22.716667;17.9;68.166667;45;9.6;2.708333;
2008-10-11;10;963.345833;18.104167;27.3;21.241667;18.2;83.25;52;11.6;1.7625;
2008-10-12;3.2;963.158333;15.154167;31.6;23.916667;18;62.708333;27;9.5;1.908333;
2008-10-13;0;963.175;13.4125;33;24.866667;15.8;53.5;23;11.7;2.045833;
2008-10-14;0;961.7875;13.695833;33.6;25.995833;18.6;50.833333;24;11.4;2.55;
2008-10-15;0;962.070833;13.570833;33.7;25.483333;16.8;52.208333;23;9.4;2.220833;
2008-10-16;0;961.175;12.004167;36.8;27.45;18.7;46.375;12;8.3;1.854167;
2008-10-17;0;959.608333;12.220833;36.9;27.683333;19.3;44.375;14;9.6;1.5875;
2008-10-18;0;959.608333;12.675;36;27.591667;20.1;45;17;10.8;2.720833;
2008-10-19;0;959.916667;13.991667;36.2;28.2625;19.8;46.708333;19;10;2.125;
2008-10-20;0;962.675;13.391667;33.9;27.275;20.6;46.291667;21;12.1;2.554167;
2008-10-21;0;963.208333;13.9875;32.7;26.158333;20.2;49.875;25;11.9;2.975;
2008-10-22;0;962.745833;14.429167;33.5;26.204167;20.1;51.333333;26;11.4;2.620833;
2008-10-23;0;962.354167;13.004167;33.2;26.183333;20.1;48.25;20;13;3.020833;
2008-10-24;0;962.733333;13.008333;33.5;26.291667;19.1;48.833333;19;12.2;2.9375;
2008-10-25;0;962.104167;12.220833;33.8;26.316667;18;46.041667;20;10.2;2.604167;
2008-10-26;0;960.641667;12.891667;35.7;27.445833;20.6;44.541667;20;9.2;2.133333;
2008-10-27;0;959.366667;12.991667;36.8;28.1125;19.9;44.291667;19;9.1;2.2125;
2008-10-28;0;957.575;13.633333;38.1;29.4125;20.5;43.625;17;9.8;2.208333;
2008-10-29;0;959.120833;13.595833;34.2;27.05;21.1;46.666667;23;11.6;2.7375;
2008-10-30;0;959.420833;12.6;37;27.916667;20;44.291667;17;14.7;2.008333;
2008-10-31;0;958.641667;15.066667;36.2;28.833333;20.6;47;25;10.2;2.591667;
2008-11-01;0;959.9125;13.445833;34.7;27.941667;21.4;44.708333;22;11.6;3.229167;
2008-11-02;0;961.929167;11.775;34.5;26.725;18.8;43.625;21;12.8;2.7375;
2008-11-03;0;960.454167;10.7125;38.3;28.85;20.8;38.166667;11;12.4;2.729167;
2008-11-04;0;958.179167;11.895833;39.2;30.541667;21.9;38.25;12;10.3;2.233333;
2008-11-05;0;957.508333;10.533333;38.8;30.7125;21;31.958333;13;12.7;3.0875;
2008-11-06;0;957.354167;10.783333;39;30.125;22.1;38.416667;10;13.2;3.658333;
2008-11-07;0;956.358333;14.5625;38;29.85;22.3;44.041667;20;8.3;2.4875;
2008-11-08;0;956.516667;15.2875;36.7;29.7625;23.1;44.5;23;8.7;2.166667;
2008-11-09;0;957.166667;15.2125;34.7;28.6375;23.8;46.875;22;11.3;2.283333;
2008-11-10;0;957.416667;14.995833;35.4;28.470833;23.2;46.916667;24;11;1.720833;
2008-11-11;18;957.479167;18.633333;31.1;25.533333;20.6;67.875;32;13.8;2.070833;
2008-11-12;.6;956.358333;19.029167;33.2;26.175;22.2;67.375;37;9.6;1.8125;
2008-11-13;.8;956.054167;17.125;32.9;26.266667;21.8;58.916667;35;10;1.9;
2008-11-14;0;956.675;16.804167;34.1;27.879167;22.8;53.875;31;11.1;2.15;
2008-11-15;0;955.425;15.075;36.3;28.379167;22.2;48.166667;23;9.4;2.2875;
2008-11-16;0;955.041667;14.495833;36.9;29.691667;22.6;42.666667;23;8.6;2.325;
2008-11-17;0;956.875;14.658333;35.3;28.758333;22.6;45.333333;22;10.8;2.904167;
2008-11-18;0;957.608333;14.825;31.9;27.4125;22.4;47.25;33;9;2.054167;
2008-11-19;0;956.729167;17.2375;35.9;26.691667;21.9;59.625;27;14;1.729167;
2008-11-20;28.8;958.733333;19.791667;27;23.254167;21.3;81.75;60;6.5;1.65;
2008-11-21;31.8;961.483333;19.666667;22.4;21.029167;20.1;92.041667;82;4.3;.975;
2008-11-22;22.8;962.079167;19.029167;24.7;21.8;19.8;84.708333;71;5;1.008333;
2008-11-23;18.4;961.233333;18.033333;23.6;20.820833;18.4;84.375;61;6.4;.9875;
2008-11-24;2.4;959.604167;17.95;28.3;23.05;19.4;74.75;49;9.7;1.725;
2008-11-25;.6;960.229167;18.466667;27.2;22.7625;19.7;77.375;62;6.8;1.479167;
2008-11-26;1.2;959.670833;19.6875;30.3;24.1125;21;77.291667;49;8.7;1.4125;
2008-11-27;10.2;960.113636;19.554545;27.9;23.777273;20.3;78.454545;53;6.9;1.218182;
2008-11-28;.4;958.9;19.925;26.6;23.5125;21.7;81.041667;63;6.8;1.058333;
2008-11-29;41.6;959.175;19.754167;23.5;21.066667;20;92.333333;81;7.9;.916667;
2008-11-30;24;958.679167;19.845833;27.2;22.6125;20;85.125;65;4.9;.833333;
2008-12-01;1.6;957.554167;20.733333;30.7;24.366667;21.4;81.208333;52;16;1.591667;
2008-12-02;16.8;957.083333;20.358333;29.8;23.333333;20.3;84.166667;56;13.7;1.583333;
2008-12-03;7;954.35;19.558333;30.3;25.233333;21.4;72.333333;51;13;2.804167;
2008-12-04;.2;955.845833;19.5625;32;26.083333;22.8;68.416667;45;11.2;2.4625;
2008-12-05;4.6;959.454167;21.0625;29.4;24.204167;21.3;83.25;58;10.4;1.0375;
2008-12-06;7.8;961.379167;20.0125;29.8;24.270833;20.3;78.25;56;6.9;1.4;
2008-12-07;3.6;962.304167;20.3125;29.9;23.979167;20.9;80.916667;55;7.7;1.270833;
2008-12-08;.2;962.870833;19.345833;29.1;24.2875;21.6;74.666667;56;8;1.866667;
2008-12-09;0;961.779167;18.4875;29.4;23.7875;18.9;73.791667;50;8.3;1.516667;
2008-12-10;0;959.1125;18.7625;30.1;24.354167;20.2;72.958333;47;7.7;1.508333;
2008-12-11;0;958.1125;18.845833;30.9;24.283333;19.7;73.625;47;7.3;1.508333;
2008-12-12;0;958.079167;19.095833;32.2;25.458333;19.9;69.916667;44;7.5;1.479167;
2008-12-13;0;957.9375;19.725;30.7;25.158333;21.1;73.291667;51;6.8;1.641667;
2008-12-14;0;958.608333;19.695833;31.4;25.070833;21.7;73.5;45;6.7;1.333333;
2008-12-15;0;956.608333;19.420833;30.8;25.575;21.3;70.458333;48;7.3;1.6625;
2008-12-16;0;956.166667;19.0125;28.6;23.941667;20.2;74.291667;57;5.8;1.104167;
2008-12-17;7.6;957.479167;20.3875;30.4;24.470833;20.5;79.541667;55;10.7;1.341667;
2008-12-18;0;958.258333;19.745833;30.4;25.1;21.6;73.833333;48;8.3;1.658333;
2008-12-19;0;957.9;17.308333;30.4;24.729167;19.6;65.75;39;7.4;1.508333;
2008-12-20;0;957.254167;17.595833;31.2;25.5125;21.6;63;39;7.3;1.570833;
2008-12-21;0;957.895833;18.4125;30.5;24.908333;20.8;68.25;47;6.9;1.3875;
2008-12-22;0;959.166667;19.3375;28.4;24.491667;20.8;73.416667;55;8.2;1.2875;
2008-12-23;1;959.995833;19.479167;28.5;23.595833;20.7;78.333333;58;7.4;1.4;
2008-12-24;1.2;958.425;20.591667;28.4;23.483333;21.7;84.708333;59;9.8;1.120833;
2008-12-25;8.8;956.745833;20.320833;28.7;23.0125;20.3;85.333333;62;9.3;1.229167;
2008-12-26;22.2;956.25;20.679167;29.8;23.833333;20.2;83.5;61;8;1.320833;
2008-12-27;0;957.191667;20.166667;29.7;24.208333;19.5;79.291667;59;8.3;1.35;
2008-12-28;0;958.2375;19.754167;30.2;23.933333;19.3;79.041667;50;8.2;1.55;
2008-12-29;0;958.8875;18.325;31;24.354167;19.3;71.375;38;7.2;1.333333;
2008-12-30;0;958.683333;17.754167;30.9;24.583333;18.2;68.458333;40;9.4;1.633333;
2008-12-31;0;959.004167;18.3;32.2;25.104167;19;68.791667;36;6.6;1.404167;
2009-01-01;0;958.15;18.741667;32.7;25.45;20.4;68.916667;38;7;1.179167;
2009-01-02;0;956.729167;20.025;33.3;25.745833;20.5;72.041667;45;7.3;1.004167;
2009-01-03;0;956.083333;20.795833;31.5;24.629167;21.3;80;55;12.8;1.45;
2009-01-04;30.6;956.429167;21.316667;29.7;24.104167;20.4;84.958333;66;6.6;1.129167;
2009-01-05;18.8;957.6125;21.083333;28.6;23.908333;21.3;84.958333;56;5.2;1.245833;
2009-01-06;5.4;957.795833;21.2125;30.3;24.220833;21.7;84.291667;57;8;1.2375;
2009-01-07;46.4;958.595833;21.295833;28.2;23.333333;21.1;88.666667;68;9;1.383333;
2009-01-08;10.8;959.370833;21.0375;29;24.6875;22.3;80.916667;57;7.7;1.5875;
2009-01-09;.2;961.341667;19.733333;29.6;23.9875;19.6;78.708333;52;10.1;1.454167;
2009-01-10;1.8;963.045833;19.983333;28.9;23.504167;20.4;81.791667;56;11.9;1.395833;
2009-01-11;3.4;962.216667;19.416667;29.4;23.675;20;78.375;48;9.7;1.5125;
2009-01-12;2.6;961.004167;20.825;31;24.816667;21.2;79.291667;54;8.3;1.145833;
2009-01-13;3.6;960.741667;20.95;29.2;24.429167;21.2;81.541667;60;10.3;1.033333;
2009-01-14;0;960.483333;19.154167;30.2;24.316667;20.4;75.25;42;7.4;1.379167;
2009-01-15;0;959.245833;19.825;31.3;25.033333;20.2;74.291667;49;6.2;1.533333;
2009-01-16;0;959.891667;20.0375;30.1;24.7125;20.8;76.541667;53;7.2;1.654167;
2009-01-17;0;960.195833;19.8375;30.7;24.745833;21.2;75.791667;48;7.2;1.145833;
2009-01-18;0;960.473913;19.721739;30.2;24.673913;20.1;75.26087;49;7.5;1.33913;
2009-01-19;0;959.575;19.304167;31.3;24.279167;19.9;75.208333;48;6.5;1.004167;
2009-01-20;0;958.4875;17.933333;30.3;23.870833;18.9;71.208333;43;6.8;1.379167;
2009-01-21;0;958.716667;19.445833;31.5;24.0625;18.8;76.916667;50;11.4;.945833;
2009-01-22;0;958.858333;20.325;32.8;25.208333;20.1;76.416667;46;8.9;1.2875;
2009-01-23;.2;959.308333;20.9375;28.6;24.608333;22.4;80.458333;63;9.4;1.679167;
2009-01-24;.4;958.408333;20.091667;31.5;25.225;21.6;74.5;50;6.5;1.091667;
2009-01-25;0;957.858333;20.116667;32.3;25.716667;22.5;73.291667;44;14.5;1.25;
2009-01-26;.2;959.345833;20.358333;32;25.704167;22.3;73.916667;45;6.5;1.204167;
2009-01-27;0;960.720833;19.5375;32.1;25.570833;20.7;70.541667;43;9.2;1.9;
2009-01-28;0;960.5625;17.379167;30.8;24.983333;19.7;65.25;36;8.3;2.045833;
2009-01-29;0;960.6;16.554167;32.5;24.941667;18.3;62.5;31;8.2;1.729167;
2009-01-30;0;959.791667;16.8625;32.5;25.0375;17.7;64.375;27;8.3;1.383333;
2009-01-31;0;958.904167;16.633333;32.7;24.945833;18.4;63.583333;27;7.6;1.375;
2009-02-01;0;958.278261;18.486957;33.7;25.791304;19.1;66.869565;38;6.9;1.330435;
2009-02-02;0;958.320833;18.629167;34.1;26.766667;22;64.166667;27;6.6;1.304167;
2009-02-03;0;960.3375;18.883333;32.4;25.791667;20.7;67.291667;43;6.3;1.1125;
2009-02-04;0;960.795833;18.9625;32.8;26.158333;21.1;66.291667;40;7.4;1.391667;
2009-02-05;0;959.825;18.904167;34.1;26.6375;21.3;65.083333;37;7.1;1.245833;
