Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2018-01-24
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-01-24;null;null;null;null;null;null;null;null;null;null;
2018-01-25;null;null;null;null;null;null;null;null;null;null;
2018-01-26;null;null;null;null;null;null;null;null;null;null;
2018-01-27;null;null;null;null;null;null;null;null;null;null;
2018-01-28;null;null;null;null;null;null;null;null;null;null;
2018-01-29;null;null;null;null;null;null;82.533333;57;12;null;
2018-01-30;.6;904.356522;19.569565;28.9;22.817391;19.6;83.086957;53;8.7;1.93913;
2018-01-31;0;904.945833;19.941667;28.8;22.966667;19.8;84.541667;54;11.1;2.641667;
2018-02-01;100.4;904.879167;19.6125;26.9;21.933333;19.6;87.333333;64;10.5;3.616667;
2018-02-02;2.6;904.091667;19.7625;28;22.8375;19.5;83.75;59;11.1;2.991667;
2018-02-03;.8;902.754167;19.5375;26.7;21.533333;20;88.875;64;9.5;2.279167;
2018-02-04;15.4;903.670833;17.629167;21.7;18.8625;17.1;92.666667;78;10.9;1.679167;
2018-02-05;3.8;903.558333;18.05;24.6;20.116667;17.7;88.333333;69;11;2.091667;
2018-02-06;0;904.816667;17.675;26.7;21.620833;18.1;79.375;54;11.1;2.904167;
2018-02-07;0;906.4875;18.225;27.7;21.758333;16.8;81.5;54;7.4;1.8375;
2018-02-08;1.2;906.7125;18.691667;29.7;22.670833;18.2;80.416667;46;11.4;1.958333;
2018-02-09;10.4;907.395833;19.795833;28.8;22.629167;19.6;85.166667;58;13.3;1.7125;
2018-02-10;30.6;908.3875;19.095833;26.7;21.208333;18.2;88.416667;62;15.6;1.620833;
2018-02-11;0;908.513043;19;26.5;21.930435;16.3;84.434783;65;8.8;1.204348;
2018-02-12;9.2;907.85;17.375;29.3;23.120833;18.1;72.583333;43;7.3;1.454167;
2018-02-13;0;908.165217;15.786957;29.3;22.513043;15.3;68.652174;38;8.1;1.917391;
2018-02-14;0;909.1375;16.6;29.5;23.054167;17.2;68.875;42;11.5;1.745833;
2018-02-15;0;910.3;16.716667;27.9;22.125;15.7;72.791667;46;11.8;2.0625;
2018-02-16;0;910.6;17.633333;28.9;22.541667;17.6;75.708333;48;9.4;2.2375;
2018-02-17;0;908.770833;17.066667;29.5;22.475;16.2;73.708333;43;11.6;2.220833;
2018-02-18;0;907.404167;17.8625;29.1;21.7125;17.3;80.458333;47;10.1;3.183333;
2018-02-19;.4;906.6375;18.995833;28.8;21.929167;19;84.75;53;9.4;1.3875;
2018-02-20;18;907.004167;19.129167;28.6;21.816667;18.8;86.25;52;14.9;1.379167;
2018-02-21;42.4;906.470833;19.75;26;21.654167;18.8;89.333333;71;8.8;1.545833;
2018-02-22;2.8;906.679167;19.2625;27.6;20.908333;19.5;90.666667;59;18.7;2.3375;
2018-02-23;2.4;907.2125;18.654167;28.9;21.729167;18.8;83.916667;49;11.6;1.995833;
2018-02-24;15;907.679167;18.8125;29.1;21.508333;17.6;86;53;6.5;1.795833;
2018-02-25;3.2;908.008333;19.233333;28.3;22.004167;18.3;85.208333;57;10.9;1.916667;
2018-02-26;13.2;908.758333;18.966667;27.4;21.6875;18.9;85.458333;57;6.4;1.629167;
2018-02-27;0;908.404167;18.6125;29.2;22.941667;17.9;78.583333;49;9;1.25;
2018-02-28;.6;907.5375;18.216667;31.8;23.683333;17.9;75.125;37;10.8;1.845833;
2018-03-01;0;909.054167;17.133333;31.9;23.7625;17;71.708333;29;8.1;1.854167;
2018-03-02;0;909.65;18.458333;30.5;23.108333;19.6;76.458333;45;10.8;1.925;
2018-03-03;1;907.6875;18.75;30.9;23.779167;18.9;76.25;44;5.9;1.216667;
2018-03-04;0;905.847826;19.004348;31.9;24.691304;18.8;72.826087;41;8.7;1.730435;
2018-03-05;null;null;null;null;null;null;null;38;4.5;null;
2018-03-06;null;906.295833;19.3375;31.8;24.195833;19.9;76.458333;41;8.9;2.125;
2018-03-07;0;906.470833;19.658333;30.7;23.429167;19.4;81.208333;51;10.6;1.558333;
2018-03-08;32.6;906.741667;19.641667;29;22.3625;19.4;85.75;55;12.6;2.029167;
2018-03-09;2.4;906.891667;19.858333;29.1;22.6125;19.9;85.833333;54;10.7;1.833333;
2018-03-10;2.4;906.529167;20.0125;29.4;22.841667;20;85.416667;55;11.4;2.020833;
2018-03-11;2;906.55;19.970833;26.2;21.8875;20;89.041667;67;9.3;2.820833;
2018-03-12;9.2;905.729167;19.820833;29.9;23.283333;19.6;82.375;54;8;2.508333;
2018-03-13;.2;906.379167;19.5625;32;25.175;19.9;74.5;41;6.5;1.870833;
2018-03-14;0;907.941667;19.766667;31.3;24.075;18.8;78.666667;49;12.5;2.15;
2018-03-15;0;908.929167;19.170833;30.9;23.0625;18.3;80.958333;44;9.2;1.3125;
2018-03-16;2.4;908.241667;18.383333;31.8;24.266667;18.2;73.208333;38;5.5;.9;
2018-03-17;.8;907.579167;18.8125;28.9;23.291667;19.7;77.25;51;11.3;2.504167;
2018-03-18;0;906.25;18.883333;28.8;22.6375;18.3;81.083333;49;10.2;.85;
2018-03-19;25.2;906.1625;18.925;30.7;24.1625;18.7;74.583333;44;13;1.9625;
2018-03-20;0;906.877273;18.327273;31.6;23.268182;17.7;76.272727;38;8.4;1.813636;
2018-03-21;0;907.779167;18.595833;31.7;24.025;19.4;74.833333;36;8.2;1.9625;
2018-03-22;4.6;907.395833;18.8625;30.6;22.6875;19.1;80.25;46;9.5;1.645833;
2018-03-23;.2;907.208333;19.241667;27.2;22.008333;18.3;85.166667;57;10.1;1.366667;
2018-03-24;16.6;907.979167;18.9125;27.6;21.9875;18.3;83.5;56;10.4;2.704167;
2018-03-25;0;908.708333;18.4;27.6;22.4125;19;79.208333;55;11.4;2.383333;
2018-03-26;0;908.9875;17.358333;28.5;22.279167;17.7;75.75;47;10.5;2.325;
2018-03-27;0;909.4375;15.433333;29.2;22.479167;16.1;67;34;11.9;3.070833;
2018-03-28;0;909.258333;15.608333;28.5;22.025;16;69.583333;39;10.5;2.170833;
2018-03-29;0;908.458333;15.041667;29;22.2;15.8;66.375;38;12.5;2.175;
2018-03-30;0;908.016667;16.341667;29.3;22.645833;18;69.875;40;11.8;2.0125;
2018-03-31;0;907.533333;17.6;28.6;22.9625;18.7;73.166667;50;10.4;2.645833;
2018-04-01;2.8;906.879167;18.383333;30;23.645833;19.8;74.625;46;9.7;1.995833;
2018-04-02;3.8;907.2125;19.225;24.8;21.654167;19.7;86.625;63;5.1;1.3125;
2018-04-03;.2;905.704167;18.691667;28.6;22.741667;17.3;79.875;52;7.1;1.241667;
2018-04-04;0;906.033333;19.566667;28.7;22.475;20.1;84.333333;54;8.5;1.541667;
2018-04-05;.2;905.479167;18.420833;29.4;22.5875;17.8;79.083333;49;10.5;1.4625;
2018-04-06;16.6;906.545833;18.95;26.9;21.270833;19;87.833333;58;8.8;2.129167;
2018-04-07;5.6;907.504167;19.104167;27.3;21.929167;18.5;85.083333;56;7.9;2.0375;
2018-04-08;0;908.833333;19.095833;25.3;21.241667;19.8;88.083333;67;11.3;1.7;
2018-04-09;2.6;909.2;18.466667;26.8;20.779167;18.5;87.458333;58;9;1.858333;
2018-04-10;8.6;909.4625;17.804167;26.6;21.266667;17.6;81.75;53;9.4;2.266667;
2018-04-11;0;909.55;17;26.5;21.1875;17;78.208333;54;10.3;2.270833;
2018-04-12;0;909.958333;15.6125;26.6;20.5375;15.5;75.458333;47;12.4;2.55;
2018-04-13;0;910.908333;17.15;27;21.1125;17.4;79.625;55;10.6;1.9375;
2018-04-14;1.4;912.2375;17.916667;24.3;20.979167;18.6;83.375;65;9.8;1.729167;
2018-04-15;4.4;912.279167;18.033333;26.7;21.1875;17.7;83.208333;59;10.2;1.791667;
2018-04-16;41.2;911.2375;17.875;26;20.954167;17.8;83.833333;59;9.4;2.441667;
2018-04-17;.2;911.720833;16.991667;23.1;20.241667;18.2;82.291667;66;11.6;2.779167;
2018-04-18;0;913.425;15.875;24.1;19.404167;16.3;81.125;60;10.9;2.433333;
2018-04-19;0;913.108333;15.9375;26;19.8625;15.1;79.5;55;9.7;1.916667;
2018-04-20;0;911.708333;16.741667;26.7;20.279167;15.6;81.541667;53;5.8;1.358333;
2018-04-21;0;909.558333;15.7375;28.5;21.275;15.6;73.458333;40;6.5;.858333;
2018-04-22;0;908.6625;16.104167;26.4;21.179167;16.7;73.666667;54;8.9;1.845833;
2018-04-23;0;909.895833;16.7625;27.5;21.379167;17.6;76.375;51;10;1.966667;
2018-04-24;0;911.025;16.504167;27.6;21.704167;16.5;74.125;46;9.3;1.883333;
2018-04-25;0;911.320833;16.079167;27.7;21.0125;15.5;75.541667;47;8.5;1.554167;
2018-04-26;0;910.7125;15.858333;27.8;20.895833;15.2;74.5;45;7.9;1.6375;
2018-04-27;0;910.491667;16.25;28.6;22.079167;17.1;71.458333;42;9;1.479167;
2018-04-28;0;911.070833;15.970833;28.3;21.4;16.2;73.375;44;10.9;1.554167;
2018-04-29;0;910.791667;15.704167;27.6;20.795833;15.3;74.916667;42;9.6;1.458333;
2018-04-30;0;911.083333;15.1375;28;20.6;14.5;73.291667;43;7.5;1.345833;
2018-05-01;2.6;911.733333;13.754167;27.7;20.658333;14.1;67.208333;35;7.9;1.366667;
2018-05-02;0;911.508333;13.283333;27.5;20.375;13.6;65.833333;39;8.8;1.404167;
2018-05-03;0;911.020833;15.704167;28.7;21.295833;15.7;72.125;45;8.5;1.641667;
2018-05-04;0;910.983333;16.0375;28.4;21.604167;16.2;72.875;44;9.6;1.5;
2018-05-05;0;911.5125;15.075;28.3;20.941667;14.1;71.458333;42;9.2;1.479167;
2018-05-06;0;912.020833;14.9;27.5;20.754167;14.5;71.166667;46;8.3;1.691667;
2018-05-07;0;911.858333;14.670833;27.9;20.120833;13.5;73.708333;40;7.1;1.275;
2018-05-08;0;911.066667;14.5625;26.6;20.7875;16.7;69.083333;46;8;1.516667;
2018-05-09;0;911.216667;13.475;26.1;19.341667;12.5;71.041667;44;9.5;1.820833;
2018-05-10;0;910.9;14.658333;26;19.208333;14.3;76.375;49;9.9;2.175;
2018-05-11;0;911.195833;13.7;27.3;19.75;12.8;70.958333;40;7;1.491667;
2018-05-12;0;909.795833;12.858333;28.4;20.741667;13.3;64.541667;32;6.1;1.766667;
2018-05-13;0;909.420833;12.441667;29.2;20.925;13.8;62.75;29;4.8;.908333;
2018-05-14;0;909.541667;13.258333;27.6;20.3625;12.7;65.958333;39;8.7;1.366667;
2018-05-15;0;910.029167;14.5375;27.3;20.095833;14.8;72.083333;40;9;1.666667;
2018-05-16;0;909.779167;14.404167;28.3;20.329167;13.7;71.958333;35;8.5;1.066667;
2018-05-17;0;909.283333;14.716667;28.6;20.683333;12.8;71.083333;40;5.8;.854167;
2018-05-18;0;908.925;16.1375;28.2;21.5125;16.6;72.625;47;8.3;1.345833;
2018-05-19;0;908.341667;16.758333;28.7;20.5;15.7;81.166667;46;12.9;2.720833;
2018-05-20;12.8;908.95;14.820833;20.8;16.825;14.7;88.625;65;9.2;2.966667;
2018-05-21;0;909.6375;9.9375;25.8;15.741667;7.4;71.25;42;4.6;1.058333;
2018-05-22;0;910.8;11.325;27;18.529167;9.9;65.125;39;6;1.233333;
2018-05-23;0;911.8375;12.741667;27.4;19.429167;11.3;67.875;41;6.2;1.166667;
2018-05-24;0;913.054167;15.1375;27.1;20.270833;15.1;73.958333;47;7.7;1.658333;
2018-05-25;0;912.6;15.291667;25;19.016667;13.9;80.75;53;8.1;1.854167;
2018-05-26;0;911.995833;13.975;25.4;18.416667;12.4;77.666667;47;8.9;1.891667;
2018-05-27;0;913.0125;13.658333;24.3;18.070833;12.8;77.083333;49;8.6;2.066667;
2018-05-28;0;913.368182;13.1;23.4;16.85;10.4;79.954545;54;9;1.936364;
2018-05-29;0;913.356522;13.078261;24;17.621739;13;76.391304;50;8.1;2.191304;
2018-05-30;0;912.608696;12.621739;23.9;17.008696;11.9;77.217391;47;9.4;2.056522;
2018-05-31;0;910.809091;11.15;25.5;17.236364;11.8;71.045455;35;6.5;1.381818;
2018-06-01;0;910.116667;11.204167;26.5;18.125;11.4;66.791667;35;6.9;1.220833;
2018-06-02;0;911.543478;11.665217;27.3;18.917391;13.1;65.521739;34;7.1;1.356522;
2018-06-03;0;912.752174;11.208696;27;18.756522;12.6;64.304348;34;6.8;1.426087;
2018-06-04;0;912.65;12.45;27.5;19.716667;13;64.208333;43;9.7;1.741667;
2018-06-05;0;910.475;13.625;26.5;19.229167;12.1;72.291667;43;8.6;1.433333;
2018-06-06;0;908.420833;14.754167;27.5;20.2625;14;72.5;47;7.6;2.229167;
2018-06-07;0;910.536364;15.540909;28.7;21.15;15.3;72.272727;42;6.2;1.072727;
2018-06-08;0;911.779167;16.4625;28.7;21.8;16.9;73.625;47;6.3;1.325;
2018-06-09;0;911.904348;15.730435;28.7;20.869565;14.2;75.043478;40;8.4;1.186957;
2018-06-10;0;911.45;15.766667;27.9;21.45;16.6;71.708333;46;9.4;2.320833;
2018-06-11;0;911.113043;15.269565;27.2;19.9;15.4;76.434783;46;8.7;1.7;
