Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-05-18;null;null;null;26.5;null;null;72;60;10.2;null;
2017-05-19;9;923.916667;18.754167;26.4;21.479167;19.2;85.041667;67;11.8;3.016667;
2017-05-20;66.8;926.425;17.283333;24.2;19.666667;16.8;86.708333;69;10.2;2.7;
2017-05-21;0;927.575;18.275;27;21.729167;18.1;81.833333;61;10.5;2.545833;
2017-05-22;0;928.141667;19.241667;29.2;22.625;18.7;82.208333;55;6.6;1.325;
2017-05-23;0;929.233333;18.8375;29.2;22.754167;18.6;80.416667;51;5.4;1.745833;
2017-05-24;0;929.895833;18.004167;28.4;22.579167;18.8;76.666667;53;9.6;3.075;
2017-05-25;0;930.383333;16.795833;29.3;22.241667;18.2;73.083333;45;9.8;3.120833;
2017-05-26;0;930.308333;null;28.8;21.904167;17.3;74.625;44;8.4;2.641667;
2017-05-27;0;930.554167;null;27.4;21.425;17.4;72.153846;47;8.2;2.45;
2017-05-28;0;930.55;null;27.1;20.566667;15.7;null;41;8.4;2.545833;
2017-05-29;0;930.6125;13.133333;28.2;20.325;14.9;66;32;6.6;2.358333;
2017-05-30;0;929.658333;13.220833;27.6;20.1;15.4;67.333333;37;6;2.1;
2017-05-31;0;927.978261;13.278261;27.7;19.93913;14.5;68.086957;38;8.5;2.582609;
